po_id,supplier_id,order_date,expected_delivery_date,total_amount,status,created_by,approved_by,approved_at,created_at
PO-461888dafc16,SUP-0492,2026-02-02,2026-02-17,62531.13,approved,system,manager,2026-02-02T14:39:39.425233,2026-02-02T14:39:39.425233
PO-c5ea76c2cb4c,SUP-0403,2026-02-20,2026-03-01,224178.97,pending,system,,2026-02-20T14:39:39.425610,2026-02-20T14:39:39.425610
PO-f8356f64f272,SUP-0080,2025-12-29,2026-01-09,31212.16,delivered,system,,2025-12-29T14:39:39.426414,2025-12-29T14:39:39.426414
PO-93cf63274a84,SUP-0368,2026-02-23,2026-03-10,67535.47,approved,system,,2026-02-23T14:39:39.426791,2026-02-23T14:39:39.426791
PO-885124ce614d,SUP-0044,2026-02-05,2026-02-21,114104.64,delivered,system,,2026-02-05T14:39:39.427445,2026-02-05T14:39:39.427445
PO-f4345e0e00dd,SUP-0471,2026-01-30,2026-02-09,163029.93,delivered,system,manager,2026-01-30T14:39:39.428354,2026-01-30T14:39:39.428354
PO-e6ee21cb8bdd,SUP-0035,2025-12-27,2026-01-12,112686.65,pending,system,manager,2025-12-27T14:39:39.429087,2025-12-27T14:39:39.429087
PO-df71f743ca0f,SUP-0165,2026-01-04,2026-01-17,336824.74,delivered,system,,2026-01-04T14:39:39.429679,2026-01-04T14:39:39.429679
PO-439a06a70077,SUP-0039,2026-01-20,2026-01-25,15680.38,delivered,system,manager,,2026-01-20T14:39:39.430654
PO-a750ad1c1fc5,SUP-0059,2026-02-27,2026-03-17,20579.01,pending,system,,2026-02-27T14:39:39.431049,2026-02-27T14:39:39.431049
PO-d42df2356073,SUP-0284,2026-02-21,2026-03-09,74455.14,pending,system,manager,2026-02-21T14:39:39.431446,2026-02-21T14:39:39.431446
PO-32f71a5593a6,SUP-0439,2026-01-18,2026-01-24,161256.7,delivered,system,manager,,2026-01-18T14:39:39.432023
PO-6a998fcfa1ad,SUP-0287,2026-01-03,2026-01-07,146979.32,approved,system,manager,2026-01-03T14:39:39.432408,2026-01-03T14:39:39.432408
PO-421ea8fbe3f4,SUP-0442,2026-01-31,2026-02-16,173063.45,approved,system,manager,2026-01-31T14:39:39.433050,2026-01-31T14:39:39.433050
PO-5b69abeb94d8,SUP-0031,2026-01-02,2026-01-07,278635.15,approved,system,manager,2026-01-02T14:39:39.434000,2026-01-02T14:39:39.434000
PO-30382271a91f,SUP-0313,2025-12-10,2025-12-13,224762.54,pending,system,manager,2025-12-10T14:39:39.435333,2025-12-10T14:39:39.435333
PO-a579d2bc9876,SUP-0060,2026-02-12,2026-02-15,19897.69,pending,system,manager,,2026-02-12T14:39:39.436344
PO-63f5f743f893,SUP-0319,2025-12-25,2026-01-11,102315.77,delivered,system,manager,2025-12-25T14:39:39.436740,2025-12-25T14:39:39.436740
PO-6491e60c97ef,SUP-0274,2025-12-07,2025-12-18,16532.81,pending,system,,2025-12-07T14:39:39.437130,2025-12-07T14:39:39.437130
PO-f8425f084432,SUP-0362,2026-02-12,2026-02-16,87612.29,delivered,system,manager,2026-02-12T14:39:39.437520,2026-02-12T14:39:39.437520
PO-0fddb1ceca1a,SUP-0075,2026-01-07,2026-01-23,66058.57,delivered,system,manager,2026-01-07T14:39:39.438140,2026-01-07T14:39:39.438140
PO-bbc9d2885c34,SUP-0328,2026-01-03,2026-01-20,64194.7,pending,system,manager,2026-01-03T14:39:39.438546,2026-01-03T14:39:39.438546
PO-a3d0c695c69c,SUP-0314,2025-12-22,2026-01-08,246014.85,pending,system,manager,2025-12-22T14:39:39.438926,2025-12-22T14:39:39.438926
PO-5246ac18384a,SUP-0237,2026-02-19,2026-02-27,119748.87,pending,system,manager,2026-02-19T14:39:39.439510,2026-02-19T14:39:39.439510
PO-24f7062233b9,SUP-0163,2025-12-14,2025-12-23,64837.91,pending,system,manager,2025-12-14T14:39:39.440112,2025-12-14T14:39:39.440112
PO-ebdebcfe607e,SUP-0110,2025-12-19,2025-12-30,230604.43,pending,system,manager,2025-12-19T14:39:39.440913,2025-12-19T14:39:39.440913
PO-7303258cd030,SUP-0289,2025-12-22,2026-01-06,2331.28,approved,system,,2025-12-22T14:39:39.441696,2025-12-22T14:39:39.441696
PO-ddc5578102ae,SUP-0328,2026-02-02,2026-02-19,74611.6,pending,system,manager,,2026-02-02T14:39:39.442084
PO-f0b33a8aee4d,SUP-0163,2026-02-17,2026-02-26,136391.83,pending,system,manager,,2026-02-17T14:39:39.442478
PO-3cc7a9d622f6,SUP-0234,2026-01-03,2026-01-24,137230.26,approved,system,manager,2026-01-03T14:39:39.442855,2026-01-03T14:39:39.442855
PO-0c1ccc7bf2ab,SUP-0168,2026-02-24,2026-03-14,215256.8,delivered,system,,,2026-02-24T14:39:39.443230
PO-0013d60c07cb,SUP-0090,2026-02-12,2026-02-18,117523.87,delivered,system,,2026-02-12T14:39:39.444006,2026-02-12T14:39:39.444006
PO-3953424f2f6d,SUP-0113,2026-01-24,2026-02-07,69494.39,pending,system,manager,,2026-01-24T14:39:39.444404
PO-9dfbbfc4129a,SUP-0218,2026-02-26,2026-03-01,40964.27,delivered,system,manager,2026-02-26T14:39:39.444984,2026-02-26T14:39:39.444984
PO-190b636b963e,SUP-0172,2026-01-15,2026-02-01,250719.66,approved,system,manager,2026-01-15T14:39:39.445360,2026-01-15T14:39:39.445360
PO-3081b635af7b,SUP-0420,2026-02-15,2026-03-06,91382.8,delivered,system,manager,2026-02-15T14:39:39.446624,2026-02-15T14:39:39.446624
PO-b8190faaeb12,SUP-0119,2026-01-04,2026-01-17,48464.93,pending,system,manager,,2026-01-04T14:39:39.447051
PO-520ef69776c5,SUP-0301,2026-02-23,2026-03-03,16079.61,delivered,system,manager,2026-02-23T14:39:39.447807,2026-02-23T14:39:39.447807
PO-227c8edeaac9,SUP-0432,2026-01-19,2026-01-26,44032.24,pending,system,manager,2026-01-19T14:39:39.448362,2026-01-19T14:39:39.448362
PO-cc5f59cf7759,SUP-0133,2025-12-19,2026-01-05,97195.08,delivered,system,manager,,2025-12-19T14:39:39.448752
PO-42ad48ce6e29,SUP-0305,2026-01-30,2026-02-07,88969.87,delivered,system,manager,,2026-01-30T14:39:39.449122
PO-08f7f12b824d,SUP-0333,2025-12-19,2025-12-31,222649.35,pending,system,manager,2025-12-19T14:39:39.450053,2025-12-19T14:39:39.450053
PO-d1ee6fb0dc53,SUP-0359,2025-12-20,2026-01-06,138971.62,approved,system,,,2025-12-20T14:39:39.450615
PO-051309b3d944,SUP-0412,2026-01-29,2026-02-12,329128.4,approved,system,manager,,2026-01-29T14:39:39.451174
PO-95d37080c78e,SUP-0207,2025-12-26,2026-01-16,273283.85,delivered,system,manager,2025-12-26T14:39:39.452079,2025-12-26T14:39:39.452079
PO-6176139032b3,SUP-0177,2025-12-27,2026-01-05,9300.22,delivered,system,manager,2025-12-27T14:39:39.452956,2025-12-27T14:39:39.452956
PO-a38b7d07e737,SUP-0450,2026-01-28,2026-02-08,256000.98,pending,system,,,2026-01-28T14:39:39.453438
PO-fced48901f3b,SUP-0361,2026-02-21,2026-03-03,1721.16,approved,system,,2026-02-21T14:39:39.454334,2026-02-21T14:39:39.454334
PO-7d402f295477,SUP-0488,2025-12-25,2026-01-15,158494.27,pending,system,manager,2025-12-25T14:39:39.454707,2025-12-25T14:39:39.454707
PO-a13126325022,SUP-0128,2026-02-27,2026-03-03,168645.32,approved,system,manager,,2026-02-27T14:39:39.455270
PO-257ec6c19e91,SUP-0225,2025-12-28,2026-01-13,39589.68,approved,system,manager,2025-12-28T14:39:39.456090,2025-12-28T14:39:39.456090
PO-558d695d8dc2,SUP-0175,2026-02-09,2026-02-17,161456.04,delivered,system,,,2026-02-09T14:39:39.456659
PO-5b584b821bcd,SUP-0046,2026-01-05,2026-01-14,321274.02,delivered,system,manager,2026-01-05T14:39:39.457421,2026-01-05T14:39:39.457421
PO-00484f551eb9,SUP-0008,2026-02-01,2026-02-09,129096.53,delivered,system,manager,2026-02-01T14:39:39.458009,2026-02-01T14:39:39.458009
PO-e4b26b6662ed,SUP-0304,2025-12-16,2025-12-19,116039.46,delivered,system,,2025-12-16T14:39:39.458760,2025-12-16T14:39:39.458760
PO-b7fcc070e0f2,SUP-0414,2025-12-13,2025-12-23,130264.82,pending,system,,2025-12-13T14:39:39.459508,2025-12-13T14:39:39.459508
PO-1c1a27f39e58,SUP-0415,2025-12-04,2025-12-24,251688.94,approved,system,manager,2025-12-04T14:39:39.460282,2025-12-04T14:39:39.460282
PO-add516270e46,SUP-0015,2026-02-06,2026-02-26,233470.79,pending,system,manager,2026-02-06T14:39:39.460841,2026-02-06T14:39:39.460841
PO-1870aed9d6dd,SUP-0239,2026-01-29,2026-02-13,140456.29,delivered,system,manager,,2026-01-29T14:39:39.461404
PO-8e994f36e723,SUP-0447,2026-01-06,2026-01-21,187373.08,delivered,system,manager,2026-01-06T14:39:39.461980,2026-01-06T14:39:39.461980
PO-22ba2b2e386e,SUP-0140,2025-12-17,2026-01-07,93817.57,pending,system,,,2025-12-17T14:39:39.462344
PO-e770544e4be3,SUP-0358,2025-12-06,2025-12-19,127811.5,approved,system,manager,2025-12-06T14:39:39.463346,2025-12-06T14:39:39.463346
PO-d7bfb9cb3607,SUP-0001,2025-12-27,2026-01-04,105842.57,approved,system,,2025-12-27T14:39:39.463742,2025-12-27T14:39:39.463742
PO-a22ab5e1204a,SUP-0050,2026-01-01,2026-01-05,248077.04,pending,system,manager,,2026-01-01T14:39:39.464331
PO-755a832f1a82,SUP-0426,2025-12-07,2025-12-17,177184.4,delivered,system,manager,2025-12-07T14:39:39.464908,2025-12-07T14:39:39.464908
PO-a512af3e82af,SUP-0278,2026-01-02,2026-01-12,145236.75,pending,system,manager,,2026-01-02T14:39:39.465481
PO-cfd97698309a,SUP-0321,2025-12-11,2025-12-17,256980.22,pending,system,manager,2025-12-11T14:39:39.465869,2025-12-11T14:39:39.465869
PO-fa3b4be2753b,SUP-0083,2026-02-22,2026-03-14,261572.56,pending,system,,2026-02-22T14:39:39.466628,2026-02-22T14:39:39.466628
PO-6e4fb44c3473,SUP-0153,2025-12-17,2026-01-06,32068.9,pending,system,manager,,2025-12-17T14:39:39.467204
PO-621ca659182b,SUP-0216,2026-02-19,2026-03-11,101947.27,approved,system,manager,,2026-02-19T14:39:39.467562
PO-9b3b2cbb741a,SUP-0310,2025-12-14,2025-12-28,124719.63,pending,system,manager,,2025-12-14T14:39:39.467941
PO-eab253b0f6d7,SUP-0143,2025-12-17,2026-01-03,99983.78,approved,system,manager,2025-12-17T14:39:39.468411,2025-12-17T14:39:39.468411
PO-abb749129b64,SUP-0283,2026-02-27,2026-03-10,54905.9,pending,system,manager,2026-02-27T14:39:39.469085,2026-02-27T14:39:39.469085
PO-d90da547cb75,SUP-0458,2025-11-30,2025-12-07,69893.91,approved,system,manager,2025-11-30T14:39:39.469452,2025-11-30T14:39:39.469452
