product_id,sku,product_name,category,unit_cost,reorder_point,reorder_quantity,created_at
PROD-00019,SKU-HIV-0019,HIVE Product 19,HIVE,404.94,74,199,2026-02-27T14:39:29.177188
PROD-00020,SKU-PLU-0020,Plumbing Product 20,Plumbing,195.58,115,236,2026-02-27T14:39:29.177191
PROD-00021,SKU-HIV-0021,HIVE Product 21,HIVE,439.9,198,236,2026-02-27T14:39:29.177194
PROD-00022,SKU-ELE-0022,Electrical Product 22,Electrical,18.42,138,471,2026-02-27T14:39:29.177196
PROD-00023,SKU-SAF-0023,Safety Product 23,Safety,108.05,130,400,2026-02-27T14:39:29.177199
PROD-00024,SKU-SAF-0024,Safety Product 24,Safety,61.33,99,393,2026-02-27T14:39:29.177201
PROD-00025,SKU-PLU-0025,Plumbing Product 25,Plumbing,64.14,102,499,2026-02-27T14:39:29.177203
PROD-00026,SKU-ELE-0026,Electrical Product 26,Electrical,70.12,82,496,2026-02-27T14:39:29.177206
PROD-00027,SKU-ELE-0027,Electrical Product 27,Electrical,53.28,65,323,2026-02-27T14:39:29.177208
PROD-00028,SKU-TOO-0028,Tools Product 28,Tools,466.97,129,491,2026-02-27T14:39:29.177210
PROD-00029,SKU-TOO-0029,Tools Product 29,Tools,158.26,73,438,2026-02-27T14:39:29.177214
PROD-00030,SKU-TOO-0030,Tools Product 30,Tools,188.49,115,187,2026-02-27T14:39:29.177216
PROD-00031,SKU-HIV-0031,HIVE Product 31,HIVE,458.26,127,102,2026-02-27T14:39:29.177221
PROD-00032,SKU-PLU-0032,Plumbing Product 32,Plumbing,376.6,153,374,2026-02-27T14:39:29.177223
PROD-00033,SKU-PLU-0033,Plumbing Product 33,Plumbing,95.92,141,473,2026-02-27T14:39:29.177225
PROD-00034,SKU-SAF-0034,Safety Product 34,Safety,59.07,153,299,2026-02-27T14:39:29.177228
PROD-00035,SKU-SAF-0035,Safety Product 35,Safety,382.8,118,428,2026-02-27T14:39:29.177230
PROD-00036,SKU-TOO-0036,Tools Product 36,Tools,174.51,65,366,2026-02-27T14:39:29.177232
PROD-00037,SKU-SAF-0037,Safety Product 37,Safety,237.47,67,245,2026-02-27T14:39:29.177234
PROD-00038,SKU-HIV-0038,HIVE Product 38,HIVE,75.25,64,419,2026-02-27T14:39:29.177237
PROD-00039,SKU-ELE-0039,Electrical Product 39,Electrical,63.57,79,200,2026-02-27T14:39:29.177239
PROD-00040,SKU-TOO-0040,Tools Product 40,Tools,222.74,81,269,2026-02-27T14:39:29.177241
PROD-00041,SKU-TOO-0041,Tools Product 41,Tools,181.38,78,413,2026-02-27T14:39:29.177243
PROD-00042,SKU-ELE-0042,Electrical Product 42,Electrical,185.54,61,493,2026-02-27T14:39:29.177246
PROD-00043,SKU-ELE-0043,Electrical Product 43,Electrical,295.49,145,370,2026-02-27T14:39:29.177248
PROD-00044,SKU-SAF-0044,Safety Product 44,Safety,211.14,174,317,2026-02-27T14:39:29.177250
PROD-00045,SKU-HIV-0045,HIVE Product 45,HIVE,201.75,56,407,2026-02-27T14:39:29.177253
PROD-00046,SKU-HIV-0046,HIVE Product 46,HIVE,104.87,126,333,2026-02-27T14:39:29.177256
PROD-00047,SKU-TOO-0047,Tools Product 47,Tools,406.15,133,204,2026-02-27T14:39:29.177259
PROD-00048,SKU-PLU-0048,Plumbing Product 48,Plumbing,363.23,160,223,2026-02-27T14:39:29.177261
PROD-00049,SKU-HIV-0049,HIVE Product 49,HIVE,60.11,90,215,2026-02-27T14:39:29.177265
PROD-00050,SKU-ELE-0050,Electrical Product 50,Electrical,404.11,147,312,2026-02-27T14:39:29.177267
PROD-00051,SKU-HIV-0051,HIVE Product 51,HIVE,379.68,170,255,2026-02-27T14:39:29.177270
PROD-00052,SKU-TOO-0052,Tools Product 52,Tools,197.0,194,108,2026-02-27T14:39:29.177272
PROD-00053,SKU-HIV-0053,HIVE Product 53,HIVE,90.22,151,452,2026-02-27T14:39:29.177275
PROD-00054,SKU-HIV-0054,HIVE Product 54,HIVE,27.11,95,276,2026-02-27T14:39:29.177277
PROD-00055,SKU-SAF-0055,Safety Product 55,Safety,42.52,194,150,2026-02-27T14:39:29.177279
PROD-00056,SKU-PLU-0056,Plumbing Product 56,Plumbing,367.59,50,466,2026-02-27T14:39:29.177282
PROD-00057,SKU-PLU-0057,Plumbing Product 57,Plumbing,26.07,99,155,2026-02-27T14:39:29.177284
PROD-00058,SKU-PLU-0058,Plumbing Product 58,Plumbing,343.07,194,364,2026-02-27T14:39:29.177287
PROD-00059,SKU-TOO-0059,Tools Product 59,Tools,203.29,123,338,2026-02-27T14:39:29.177290
PROD-00060,SKU-PLU-0060,Plumbing Product 60,Plumbing,429.06,132,147,2026-02-27T14:39:29.177293
PROD-00061,SKU-PLU-0061,Plumbing Product 61,Plumbing,412.54,70,126,2026-02-27T14:39:29.177296
PROD-00062,SKU-TOO-0062,Tools Product 62,Tools,359.43,111,465,2026-02-27T14:39:29.177301
PROD-00063,SKU-ELE-0063,Electrical Product 63,Electrical,45.68,114,379,2026-02-27T14:39:29.177303
PROD-00064,SKU-ELE-0064,Electrical Product 64,Electrical,215.97,99,205,2026-02-27T14:39:29.177305
PROD-00065,SKU-SAF-0065,Safety Product 65,Safety,381.99,154,181,2026-02-27T14:39:29.177308
PROD-00066,SKU-ELE-0066,Electrical Product 66,Electrical,445.4,173,432,2026-02-27T14:39:29.177311
PROD-00067,SKU-PLU-0067,Plumbing Product 67,Plumbing,7.2,199,325,2026-02-27T14:39:29.177315
PROD-00068,SKU-TOO-0068,Tools Product 68,Tools,198.23,157,358,2026-02-27T14:39:29.177318
PROD-00069,SKU-TOO-0069,Tools Product 69,Tools,170.53,159,241,2026-02-27T14:39:29.177321
PROD-00070,SKU-PLU-0070,Plumbing Product 70,Plumbing,66.82,100,241,2026-02-27T14:39:29.177323
PROD-00071,SKU-HIV-0071,HIVE Product 71,HIVE,126.07,102,294,2026-02-27T14:39:29.177325
PROD-00072,SKU-ELE-0072,Electrical Product 72,Electrical,468.66,78,177,2026-02-27T14:39:29.177328
PROD-00073,SKU-ELE-0073,Electrical Product 73,Electrical,92.07,141,219,2026-02-27T14:39:29.177330
PROD-00074,SKU-ELE-0074,Electrical Product 74,Electrical,458.96,69,163,2026-02-27T14:39:29.177332
PROD-00075,SKU-TOO-0075,Tools Product 75,Tools,357.51,160,272,2026-02-27T14:39:29.177335
PROD-00076,SKU-ELE-0076,Electrical Product 76,Electrical,99.18,200,168,2026-02-27T14:39:29.177337
PROD-00077,SKU-PLU-0077,Plumbing Product 77,Plumbing,202.25,113,438,2026-02-27T14:39:29.177340
PROD-00078,SKU-SAF-0078,Safety Product 78,Safety,411.19,66,190,2026-02-27T14:39:29.177344
PROD-00079,SKU-TOO-0079,Tools Product 79,Tools,447.7,161,333,2026-02-27T14:39:29.177346
PROD-00080,SKU-ELE-0080,Electrical Product 80,Electrical,200.19,185,469,2026-02-27T14:39:29.177348
PROD-00081,SKU-SAF-0081,Safety Product 81,Safety,134.13,62,298,2026-02-27T14:39:29.177351
PROD-00082,SKU-PLU-0082,Plumbing Product 82,Plumbing,323.52,149,441,2026-02-27T14:39:29.177353
PROD-00083,SKU-TOO-0083,Tools Product 83,Tools,203.09,157,101,2026-02-27T14:39:29.177355
PROD-00084,SKU-HIV-0084,HIVE Product 84,HIVE,231.45,157,267,2026-02-27T14:39:29.177357
PROD-00085,SKU-SAF-0085,Safety Product 85,Safety,339.81,152,321,2026-02-27T14:39:29.177359
PROD-00086,SKU-SAF-0086,Safety Product 86,Safety,82.73,188,195,2026-02-27T14:39:29.177362
PROD-00087,SKU-ELE-0087,Electrical Product 87,Electrical,323.2,180,265,2026-02-27T14:39:29.177364
PROD-00088,SKU-TOO-0088,Tools Product 88,Tools,318.25,122,272,2026-02-27T14:39:29.177368
PROD-00089,SKU-SAF-0089,Safety Product 89,Safety,51.8,179,288,2026-02-27T14:39:29.177370
PROD-00090,SKU-TOO-0090,Tools Product 90,Tools,494.91,58,125,2026-02-27T14:39:29.177373
PROD-00091,SKU-TOO-0091,Tools Product 91,Tools,85.1,81,179,2026-02-27T14:39:29.177375
PROD-00092,SKU-TOO-0092,Tools Product 92,Tools,279.74,155,172,2026-02-27T14:39:29.177377
PROD-00093,SKU-PLU-0093,Plumbing Product 93,Plumbing,429.72,116,488,2026-02-27T14:39:29.177380
PROD-00094,SKU-TOO-0094,Tools Product 94,Tools,371.08,184,436,2026-02-27T14:39:29.177384
PROD-00095,SKU-HIV-0095,HIVE Product 95,HIVE,101.27,159,325,2026-02-27T14:39:29.177386
PROD-00096,SKU-TOO-0096,Tools Product 96,Tools,371.04,155,139,2026-02-27T14:39:29.177388
PROD-00097,SKU-PLU-0097,Plumbing Product 97,Plumbing,194.27,96,340,2026-02-27T14:39:29.177391
PROD-00098,SKU-SAF-0098,Safety Product 98,Safety,284.51,148,415,2026-02-27T14:39:29.177393
PROD-00099,SKU-PLU-0099,Plumbing Product 99,Plumbing,497.25,120,383,2026-02-27T14:39:29.177396
PROD-00100,SKU-PLU-0100,Plumbing Product 100,Plumbing,494.38,146,409,2026-02-27T14:39:29.177399
PROD-00101,SKU-ELE-0101,Electrical Product 101,Electrical,96.1,117,109,2026-02-27T14:39:29.177403
PROD-00102,SKU-TOO-0102,Tools Product 102,Tools,419.09,100,400,2026-02-27T14:39:29.177405
PROD-00103,SKU-ELE-0103,Electrical Product 103,Electrical,135.61,118,364,2026-02-27T14:39:29.177408
PROD-00104,SKU-ELE-0104,Electrical Product 104,Electrical,212.97,95,356,2026-02-27T14:39:29.177410
PROD-00105,SKU-SAF-0105,Safety Product 105,Safety,317.29,128,295,2026-02-27T14:39:29.177412
PROD-00106,SKU-PLU-0106,Plumbing Product 106,Plumbing,328.35,170,483,2026-02-27T14:39:29.177415
PROD-00107,SKU-PLU-0107,Plumbing Product 107,Plumbing,169.4,108,168,2026-02-27T14:39:29.177418
PROD-00108,SKU-ELE-0108,Electrical Product 108,Electrical,156.68,95,482,2026-02-27T14:39:29.177421
PROD-00109,SKU-HIV-0109,HIVE Product 109,HIVE,83.52,136,312,2026-02-27T14:39:29.177424
PROD-00110,SKU-TOO-0110,Tools Product 110,Tools,287.76,113,397,2026-02-27T14:39:29.177427
PROD-00111,SKU-HIV-0111,HIVE Product 111,HIVE,309.99,109,130,2026-02-27T14:39:29.177431
PROD-00112,SKU-SAF-0112,Safety Product 112,Safety,427.85,78,208,2026-02-27T14:39:29.177433
PROD-00113,SKU-PLU-0113,Plumbing Product 113,Plumbing,235.59,183,307,2026-02-27T14:39:29.177436
PROD-00114,SKU-PLU-0114,Plumbing Product 114,Plumbing,243.74,153,464,2026-02-27T14:39:29.177438
PROD-00115,SKU-TOO-0115,Tools Product 115,Tools,205.26,70,461,2026-02-27T14:39:29.177440
PROD-00116,SKU-SAF-0116,Safety Product 116,Safety,284.2,139,283,2026-02-27T14:39:29.177443
PROD-00117,SKU-TOO-0117,Tools Product 117,Tools,157.34,77,303,2026-02-27T14:39:29.177446
PROD-00118,SKU-SAF-0118,Safety Product 118,Safety,306.14,161,213,2026-02-27T14:39:29.177449
PROD-00119,SKU-TOO-0119,Tools Product 119,Tools,127.63,72,359,2026-02-27T14:39:29.177451
PROD-00120,SKU-SAF-0120,Safety Product 120,Safety,89.71,88,224,2026-02-27T14:39:29.177454
PROD-00121,SKU-HIV-0121,HIVE Product 121,HIVE,384.53,160,237,2026-02-27T14:39:29.177456
PROD-00122,SKU-HIV-0122,HIVE Product 122,HIVE,149.39,89,214,2026-02-27T14:39:29.177458
PROD-00123,SKU-SAF-0123,Safety Product 123,Safety,354.66,68,374,2026-02-27T14:39:29.177461
PROD-00124,SKU-HIV-0124,HIVE Product 124,HIVE,498.0,59,237,2026-02-27T14:39:29.177463
PROD-00125,SKU-ELE-0125,Electrical Product 125,Electrical,52.58,85,122,2026-02-27T14:39:29.177465
PROD-00126,SKU-TOO-0126,Tools Product 126,Tools,129.81,183,368,2026-02-27T14:39:29.177469
PROD-00127,SKU-SAF-0127,Safety Product 127,Safety,317.11,170,452,2026-02-27T14:39:29.177473
PROD-00128,SKU-ELE-0128,Electrical Product 128,Electrical,109.87,106,184,2026-02-27T14:39:29.177475
PROD-00129,SKU-HIV-0129,HIVE Product 129,HIVE,421.06,157,382,2026-02-27T14:39:29.177478
PROD-00130,SKU-ELE-0130,Electrical Product 130,Electrical,227.6,72,408,2026-02-27T14:39:29.177480
PROD-00131,SKU-SAF-0131,Safety Product 131,Safety,469.5,73,344,2026-02-27T14:39:29.177483
PROD-00132,SKU-TOO-0132,Tools Product 132,Tools,41.53,169,315,2026-02-27T14:39:29.177485
PROD-00133,SKU-TOO-0133,Tools Product 133,Tools,147.34,133,214,2026-02-27T14:39:29.177487
PROD-00134,SKU-SAF-0134,Safety Product 134,Safety,325.95,72,152,2026-02-27T14:39:29.177490
PROD-00135,SKU-ELE-0135,Electrical Product 135,Electrical,497.5,181,400,2026-02-27T14:39:29.177492
PROD-00136,SKU-SAF-0136,Safety Product 136,Safety,109.14,199,176,2026-02-27T14:39:29.177494
PROD-00137,SKU-ELE-0137,Electrical Product 137,Electrical,478.38,193,248,2026-02-27T14:39:29.177497
PROD-00138,SKU-PLU-0138,Plumbing Product 138,Plumbing,191.03,187,262,2026-02-27T14:39:29.177499
PROD-00139,SKU-ELE-0139,Electrical Product 139,Electrical,199.42,110,459,2026-02-27T14:39:29.177502
PROD-00140,SKU-TOO-0140,Tools Product 140,Tools,357.28,99,367,2026-02-27T14:39:29.177504
PROD-00141,SKU-ELE-0141,Electrical Product 141,Electrical,497.51,180,208,2026-02-27T14:39:29.177506
PROD-00142,SKU-ELE-0142,Electrical Product 142,Electrical,100.52,54,474,2026-02-27T14:39:29.177510
PROD-00143,SKU-SAF-0143,Safety Product 143,Safety,126.52,197,114,2026-02-27T14:39:29.177512
PROD-00144,SKU-TOO-0144,Tools Product 144,Tools,313.93,67,357,2026-02-27T14:39:29.177514
PROD-00145,SKU-PLU-0145,Plumbing Product 145,Plumbing,371.55,174,361,2026-02-27T14:39:29.177517
PROD-00146,SKU-HIV-0146,HIVE Product 146,HIVE,130.98,89,488,2026-02-27T14:39:29.177520
PROD-00147,SKU-PLU-0147,Plumbing Product 147,Plumbing,330.92,139,483,2026-02-27T14:39:29.177522
PROD-00148,SKU-TOO-0148,Tools Product 148,Tools,324.93,149,111,2026-02-27T14:39:29.177525
PROD-00149,SKU-TOO-0149,Tools Product 149,Tools,380.75,122,149,2026-02-27T14:39:29.177527
PROD-00150,SKU-SAF-0150,Safety Product 150,Safety,165.35,57,310,2026-02-27T14:39:29.177530
PROD-00151,SKU-PLU-0151,Plumbing Product 151,Plumbing,298.09,86,473,2026-02-27T14:39:29.177532
PROD-00152,SKU-HIV-0152,HIVE Product 152,HIVE,134.01,82,137,2026-02-27T14:39:29.177534
PROD-00153,SKU-ELE-0153,Electrical Product 153,Electrical,423.53,143,102,2026-02-27T14:39:29.177537
PROD-00154,SKU-PLU-0154,Plumbing Product 154,Plumbing,230.73,120,173,2026-02-27T14:39:29.177539
PROD-00155,SKU-PLU-0155,Plumbing Product 155,Plumbing,48.2,139,264,2026-02-27T14:39:29.177541
PROD-00156,SKU-ELE-0156,Electrical Product 156,Electrical,187.84,108,272,2026-02-27T14:39:29.177544
PROD-00157,SKU-PLU-0157,Plumbing Product 157,Plumbing,76.55,152,382,2026-02-27T14:39:29.177546
PROD-00158,SKU-HIV-0158,HIVE Product 158,HIVE,414.56,57,211,2026-02-27T14:39:29.177550
PROD-00159,SKU-PLU-0159,Plumbing Product 159,Plumbing,150.49,120,347,2026-02-27T14:39:29.177553
PROD-00160,SKU-ELE-0160,Electrical Product 160,Electrical,20.51,108,494,2026-02-27T14:39:29.177555
PROD-00161,SKU-SAF-0161,Safety Product 161,Safety,465.61,192,257,2026-02-27T14:39:29.177557
PROD-00162,SKU-ELE-0162,Electrical Product 162,Electrical,295.91,159,127,2026-02-27T14:39:29.177560
PROD-00163,SKU-TOO-0163,Tools Product 163,Tools,489.58,81,214,2026-02-27T14:39:29.177564
PROD-00164,SKU-PLU-0164,Plumbing Product 164,Plumbing,499.51,93,128,2026-02-27T14:39:29.177566
PROD-00165,SKU-TOO-0165,Tools Product 165,Tools,30.44,94,151,2026-02-27T14:39:29.177569
PROD-00166,SKU-HIV-0166,HIVE Product 166,HIVE,307.58,177,343,2026-02-27T14:39:29.177572
PROD-00167,SKU-HIV-0167,HIVE Product 167,HIVE,55.54,182,399,2026-02-27T14:39:29.177575
PROD-00168,SKU-HIV-0168,HIVE Product 168,HIVE,491.29,103,109,2026-02-27T14:39:29.177577
PROD-00169,SKU-SAF-0169,Safety Product 169,Safety,296.58,180,420,2026-02-27T14:39:29.177579
PROD-00170,SKU-PLU-0170,Plumbing Product 170,Plumbing,153.43,158,384,2026-02-27T14:39:29.177581
PROD-00171,SKU-ELE-0171,Electrical Product 171,Electrical,352.4,71,389,2026-02-27T14:39:29.177584
PROD-00172,SKU-ELE-0172,Electrical Product 172,Electrical,308.41,163,243,2026-02-27T14:39:29.177586
PROD-00173,SKU-TOO-0173,Tools Product 173,Tools,140.21,200,373,2026-02-27T14:39:29.177589
PROD-00174,SKU-TOO-0174,Tools Product 174,Tools,418.75,101,455,2026-02-27T14:39:29.177592
PROD-00175,SKU-ELE-0175,Electrical Product 175,Electrical,342.35,126,458,2026-02-27T14:39:29.177595
PROD-00176,SKU-PLU-0176,Plumbing Product 176,Plumbing,146.19,141,344,2026-02-27T14:39:29.177597
PROD-00177,SKU-HIV-0177,HIVE Product 177,HIVE,357.37,79,169,2026-02-27T14:39:29.177599
PROD-00178,SKU-SAF-0178,Safety Product 178,Safety,231.83,85,403,2026-02-27T14:39:29.177602
PROD-00179,SKU-HIV-0179,HIVE Product 179,HIVE,324.45,149,102,2026-02-27T14:39:29.177605
PROD-00180,SKU-ELE-0180,Electrical Product 180,Electrical,432.23,125,444,2026-02-27T14:39:29.177608
PROD-00181,SKU-HIV-0181,HIVE Product 181,HIVE,208.74,126,380,2026-02-27T14:39:29.177611
PROD-00182,SKU-PLU-0182,Plumbing Product 182,Plumbing,103.28,116,164,2026-02-27T14:39:29.177613
PROD-00183,SKU-TOO-0183,Tools Product 183,Tools,446.21,158,337,2026-02-27T14:39:29.177615
PROD-00184,SKU-TOO-0184,Tools Product 184,Tools,498.88,199,259,2026-02-27T14:39:29.177618
PROD-00185,SKU-HIV-0185,HIVE Product 185,HIVE,59.21,130,157,2026-02-27T14:39:29.177621
PROD-00186,SKU-PLU-0186,Plumbing Product 186,Plumbing,391.14,181,488,2026-02-27T14:39:29.177624
PROD-00187,SKU-HIV-0187,HIVE Product 187,HIVE,439.75,122,337,2026-02-27T14:39:29.177626
PROD-00188,SKU-TOO-0188,Tools Product 188,Tools,296.73,93,237,2026-02-27T14:39:29.177629
PROD-00189,SKU-TOO-0189,Tools Product 189,Tools,234.64,148,131,2026-02-27T14:39:29.177631
PROD-00190,SKU-PLU-0190,Plumbing Product 190,Plumbing,111.15,188,268,2026-02-27T14:39:29.177634
PROD-00191,SKU-SAF-0191,Safety Product 191,Safety,193.58,190,282,2026-02-27T14:39:29.177637
PROD-00192,SKU-HIV-0192,HIVE Product 192,HIVE,191.96,170,319,2026-02-27T14:39:29.177640
PROD-00193,SKU-HIV-0193,HIVE Product 193,HIVE,292.58,69,123,2026-02-27T14:39:29.177642
PROD-00194,SKU-TOO-0194,Tools Product 194,Tools,347.91,134,339,2026-02-27T14:39:29.177644
PROD-00195,SKU-TOO-0195,Tools Product 195,Tools,460.69,135,132,2026-02-27T14:39:29.177646
PROD-00196,SKU-SAF-0196,Safety Product 196,Safety,217.0,64,218,2026-02-27T14:39:29.177649
PROD-00197,SKU-ELE-0197,Electrical Product 197,Electrical,475.81,174,378,2026-02-27T14:39:29.177651
PROD-00198,SKU-PLU-0198,Plumbing Product 198,Plumbing,298.54,76,398,2026-02-27T14:39:29.177653
PROD-00199,SKU-PLU-0199,Plumbing Product 199,Plumbing,62.73,185,122,2026-02-27T14:39:29.177656
PROD-00200,SKU-HIV-0200,HIVE Product 200,HIVE,171.72,156,395,2026-02-27T14:39:29.177658
PROD-00201,SKU-ELE-0201,Electrical Product 201,Electrical,28.87,189,139,2026-02-27T14:39:29.177661
PROD-00202,SKU-HIV-0202,HIVE Product 202,HIVE,83.98,52,218,2026-02-27T14:39:29.177663
PROD-00203,SKU-TOO-0203,Tools Product 203,Tools,44.52,183,293,2026-02-27T14:39:29.177665
PROD-00204,SKU-HIV-0204,HIVE Product 204,HIVE,193.54,159,323,2026-02-27T14:39:29.177668
PROD-00205,SKU-HIV-0205,HIVE Product 205,HIVE,85.71,166,451,2026-02-27T14:39:29.177671
PROD-00206,SKU-PLU-0206,Plumbing Product 206,Plumbing,88.08,107,376,2026-02-27T14:39:29.177675
PROD-00207,SKU-PLU-0207,Plumbing Product 207,Plumbing,213.38,164,420,2026-02-27T14:39:29.177678
PROD-00208,SKU-PLU-0208,Plumbing Product 208,Plumbing,299.0,143,144,2026-02-27T14:39:29.177680
PROD-00209,SKU-ELE-0209,Electrical Product 209,Electrical,452.94,191,224,2026-02-27T14:39:29.177683
PROD-00210,SKU-TOO-0210,Tools Product 210,Tools,134.66,103,413,2026-02-27T14:39:29.177685
PROD-00211,SKU-ELE-0211,Electrical Product 211,Electrical,455.98,59,194,2026-02-27T14:39:29.177687
PROD-00212,SKU-SAF-0212,Safety Product 212,Safety,53.11,109,382,2026-02-27T14:39:29.177690
PROD-00213,SKU-TOO-0213,Tools Product 213,Tools,337.61,123,497,2026-02-27T14:39:29.177693
PROD-00214,SKU-ELE-0214,Electrical Product 214,Electrical,213.9,166,467,2026-02-27T14:39:29.177696
PROD-00215,SKU-ELE-0215,Electrical Product 215,Electrical,325.35,102,378,2026-02-27T14:39:29.177698
PROD-00216,SKU-PLU-0216,Plumbing Product 216,Plumbing,375.91,131,325,2026-02-27T14:39:29.177700
PROD-00217,SKU-ELE-0217,Electrical Product 217,Electrical,52.87,185,371,2026-02-27T14:39:29.177702
PROD-00218,SKU-TOO-0218,Tools Product 218,Tools,177.15,62,204,2026-02-27T14:39:29.177705
PROD-00219,SKU-PLU-0219,Plumbing Product 219,Plumbing,485.5,112,357,2026-02-27T14:39:29.177707
PROD-00220,SKU-ELE-0220,Electrical Product 220,Electrical,134.53,63,203,2026-02-27T14:39:29.177709
PROD-00221,SKU-SAF-0221,Safety Product 221,Safety,483.19,92,411,2026-02-27T14:39:29.177712
PROD-00222,SKU-HIV-0222,HIVE Product 222,HIVE,178.53,155,330,2026-02-27T14:39:29.177716
PROD-00223,SKU-SAF-0223,Safety Product 223,Safety,400.17,52,204,2026-02-27T14:39:29.177718
PROD-00224,SKU-TOO-0224,Tools Product 224,Tools,121.31,146,237,2026-02-27T14:39:29.177722
PROD-00225,SKU-SAF-0225,Safety Product 225,Safety,88.38,151,150,2026-02-27T14:39:29.177724
PROD-00226,SKU-TOO-0226,Tools Product 226,Tools,238.59,91,134,2026-02-27T14:39:29.177726
PROD-00227,SKU-ELE-0227,Electrical Product 227,Electrical,85.73,82,179,2026-02-27T14:39:29.177729
PROD-00228,SKU-HIV-0228,HIVE Product 228,HIVE,80.78,55,377,2026-02-27T14:39:29.177731
PROD-00229,SKU-HIV-0229,HIVE Product 229,HIVE,265.34,119,500,2026-02-27T14:39:29.177733
PROD-00230,SKU-ELE-0230,Electrical Product 230,Electrical,253.76,160,334,2026-02-27T14:39:29.177735
PROD-00231,SKU-TOO-0231,Tools Product 231,Tools,128.48,86,151,2026-02-27T14:39:29.177738
PROD-00232,SKU-SAF-0232,Safety Product 232,Safety,185.54,174,138,2026-02-27T14:39:29.177740
PROD-00233,SKU-HIV-0233,HIVE Product 233,HIVE,389.52,161,275,2026-02-27T14:39:29.177743
PROD-00234,SKU-ELE-0234,Electrical Product 234,Electrical,483.14,80,301,2026-02-27T14:39:29.177746
PROD-00235,SKU-TOO-0235,Tools Product 235,Tools,257.68,83,478,2026-02-27T14:39:29.177748
PROD-00236,SKU-PLU-0236,Plumbing Product 236,Plumbing,171.18,174,458,2026-02-27T14:39:29.177750
PROD-00237,SKU-SAF-0237,Safety Product 237,Safety,75.7,116,411,2026-02-27T14:39:29.177752
PROD-00238,SKU-ELE-0238,Electrical Product 238,Electrical,183.82,77,447,2026-02-27T14:39:29.177756
PROD-00239,SKU-HIV-0239,HIVE Product 239,HIVE,387.85,144,202,2026-02-27T14:39:29.177758
PROD-00240,SKU-PLU-0240,Plumbing Product 240,Plumbing,173.76,89,199,2026-02-27T14:39:29.177761
PROD-00241,SKU-TOO-0241,Tools Product 241,Tools,372.11,180,153,2026-02-27T14:39:29.177763
PROD-00242,SKU-HIV-0242,HIVE Product 242,HIVE,200.74,151,377,2026-02-27T14:39:29.177766
PROD-00243,SKU-TOO-0243,Tools Product 243,Tools,495.98,79,440,2026-02-27T14:39:29.177768
PROD-00244,SKU-PLU-0244,Plumbing Product 244,Plumbing,132.13,129,328,2026-02-27T14:39:29.177771
PROD-00245,SKU-HIV-0245,HIVE Product 245,HIVE,439.12,127,142,2026-02-27T14:39:29.177774
PROD-00246,SKU-ELE-0246,Electrical Product 246,Electrical,311.38,53,229,2026-02-27T14:39:29.177776
PROD-00247,SKU-HIV-0247,HIVE Product 247,HIVE,332.26,175,370,2026-02-27T14:39:29.177779
PROD-00248,SKU-TOO-0248,Tools Product 248,Tools,146.04,141,494,2026-02-27T14:39:29.177781
PROD-00249,SKU-SAF-0249,Safety Product 249,Safety,239.58,57,322,2026-02-27T14:39:29.177784
