supplier_id,supplier_name,contact_email,reliability_score,avg_lead_time_days,defect_rate,created_at
SUP-0102,Supplier 102 Ltd,contact@supplier102.com,0.93,18,0.0468,2026-02-27T14:39:29.185667
SUP-0103,Supplier 103 Ltd,contact@supplier103.com,0.8,10,0.0363,2026-02-27T14:39:29.185669
SUP-0104,Supplier 104 Ltd,contact@supplier104.com,0.82,13,0.0288,2026-02-27T14:39:29.185671
SUP-0105,Supplier 105 Ltd,contact@supplier105.com,0.86,18,0.0494,2026-02-27T14:39:29.185673
SUP-0106,Supplier 106 Ltd,contact@supplier106.com,0.83,10,0.0162,2026-02-27T14:39:29.185675
SUP-0107,Supplier 107 Ltd,contact@supplier107.com,0.83,17,0.0011,2026-02-27T14:39:29.185677
SUP-0108,Supplier 108 Ltd,contact@supplier108.com,0.78,15,0.0338,2026-02-27T14:39:29.185679
SUP-0109,Supplier 109 Ltd,contact@supplier109.com,0.92,13,0.0278,2026-02-27T14:39:29.185681
SUP-0110,Supplier 110 Ltd,contact@supplier110.com,0.96,11,0.0114,2026-02-27T14:39:29.185683
SUP-0111,Supplier 111 Ltd,contact@supplier111.com,0.93,18,0.0082,2026-02-27T14:39:29.185686
SUP-0112,Supplier 112 Ltd,contact@supplier112.com,0.99,4,0.0283,2026-02-27T14:39:29.185688
SUP-0113,Supplier 113 Ltd,contact@supplier113.com,0.99,14,0.0107,2026-02-27T14:39:29.185690
SUP-0114,Supplier 114 Ltd,contact@supplier114.com,0.85,16,0.0067,2026-02-27T14:39:29.185693
SUP-0115,Supplier 115 Ltd,contact@supplier115.com,0.96,13,0.0435,2026-02-27T14:39:29.185695
SUP-0116,Supplier 116 Ltd,contact@supplier116.com,0.84,9,0.0183,2026-02-27T14:39:29.185697
SUP-0117,Supplier 117 Ltd,contact@supplier117.com,0.84,11,0.0477,2026-02-27T14:39:29.185700
SUP-0118,Supplier 118 Ltd,contact@supplier118.com,0.96,4,0.0082,2026-02-27T14:39:29.185702
SUP-0119,Supplier 119 Ltd,contact@supplier119.com,0.84,13,0.0481,2026-02-27T14:39:29.185705
SUP-0120,Supplier 120 Ltd,contact@supplier120.com,0.74,15,0.007,2026-02-27T14:39:29.185707
SUP-0121,Supplier 121 Ltd,contact@supplier121.com,0.88,3,0.0368,2026-02-27T14:39:29.185709
SUP-0122,Supplier 122 Ltd,contact@supplier122.com,0.88,9,0.0224,2026-02-27T14:39:29.185711
SUP-0123,Supplier 123 Ltd,contact@supplier123.com,0.88,8,0.0365,2026-02-27T14:39:29.185713
SUP-0124,Supplier 124 Ltd,contact@supplier124.com,0.91,16,0.0054,2026-02-27T14:39:29.185715
SUP-0125,Supplier 125 Ltd,contact@supplier125.com,0.75,16,0.0027,2026-02-27T14:39:29.185717
SUP-0126,Supplier 126 Ltd,contact@supplier126.com,0.94,21,0.0438,2026-02-27T14:39:29.185720
SUP-0127,Supplier 127 Ltd,contact@supplier127.com,0.7,6,0.0391,2026-02-27T14:39:29.185722
SUP-0128,Supplier 128 Ltd,contact@supplier128.com,0.78,4,0.048,2026-02-27T14:39:29.185724
SUP-0129,Supplier 129 Ltd,contact@supplier129.com,0.85,10,0.0428,2026-02-27T14:39:29.185727
SUP-0130,Supplier 130 Ltd,contact@supplier130.com,0.71,19,0.0346,2026-02-27T14:39:29.185729
SUP-0131,Supplier 131 Ltd,contact@supplier131.com,0.75,15,0.0176,2026-02-27T14:39:29.185731
SUP-0132,Supplier 132 Ltd,contact@supplier132.com,0.94,19,0.0086,2026-02-27T14:39:29.185733
SUP-0133,Supplier 133 Ltd,contact@supplier133.com,0.73,17,0.0128,2026-02-27T14:39:29.185735
SUP-0134,Supplier 134 Ltd,contact@supplier134.com,0.97,18,0.0431,2026-02-27T14:39:29.185737
SUP-0135,Supplier 135 Ltd,contact@supplier135.com,0.76,3,0.0398,2026-02-27T14:39:29.185739
SUP-0136,Supplier 136 Ltd,contact@supplier136.com,0.91,3,0.0071,2026-02-27T14:39:29.185742
SUP-0137,Supplier 137 Ltd,contact@supplier137.com,0.85,15,0.006,2026-02-27T14:39:29.185744
SUP-0138,Supplier 138 Ltd,contact@supplier138.com,0.96,6,0.0214,2026-02-27T14:39:29.185746
SUP-0139,Supplier 139 Ltd,contact@supplier139.com,0.84,4,0.0407,2026-02-27T14:39:29.185748
SUP-0140,Supplier 140 Ltd,contact@supplier140.com,0.81,21,0.0323,2026-02-27T14:39:29.185750
SUP-0141,Supplier 141 Ltd,contact@supplier141.com,0.84,16,0.0276,2026-02-27T14:39:29.185752
SUP-0142,Supplier 142 Ltd,contact@supplier142.com,0.77,12,0.0025,2026-02-27T14:39:29.185755
SUP-0143,Supplier 143 Ltd,contact@supplier143.com,0.81,17,0.0118,2026-02-27T14:39:29.185757
SUP-0144,Supplier 144 Ltd,contact@supplier144.com,0.87,15,0.0336,2026-02-27T14:39:29.185759
SUP-0145,Supplier 145 Ltd,contact@supplier145.com,0.77,21,0.0318,2026-02-27T14:39:29.185761
SUP-0146,Supplier 146 Ltd,contact@supplier146.com,0.96,19,0.0405,2026-02-27T14:39:29.185763
SUP-0147,Supplier 147 Ltd,contact@supplier147.com,0.81,11,0.0446,2026-02-27T14:39:29.185765
SUP-0148,Supplier 148 Ltd,contact@supplier148.com,0.74,6,0.0248,2026-02-27T14:39:29.185767
SUP-0149,Supplier 149 Ltd,contact@supplier149.com,0.88,3,0.042,2026-02-27T14:39:29.185769
SUP-0150,Supplier 150 Ltd,contact@supplier150.com,0.98,16,0.0098,2026-02-27T14:39:29.185772
SUP-0151,Supplier 151 Ltd,contact@supplier151.com,0.77,15,0.0234,2026-02-27T14:39:29.185774
SUP-0152,Supplier 152 Ltd,contact@supplier152.com,0.95,18,0.0476,2026-02-27T14:39:29.185776
SUP-0153,Supplier 153 Ltd,contact@supplier153.com,0.74,20,0.0356,2026-02-27T14:39:29.185778
SUP-0154,Supplier 154 Ltd,contact@supplier154.com,0.96,20,0.0164,2026-02-27T14:39:29.185780
SUP-0155,Supplier 155 Ltd,contact@supplier155.com,0.72,5,0.0473,2026-02-27T14:39:29.185782
SUP-0156,Supplier 156 Ltd,contact@supplier156.com,0.94,8,0.0497,2026-02-27T14:39:29.185784
SUP-0157,Supplier 157 Ltd,contact@supplier157.com,0.72,20,0.0453,2026-02-27T14:39:29.185786
SUP-0158,Supplier 158 Ltd,contact@supplier158.com,0.76,10,0.0103,2026-02-27T14:39:29.185788
SUP-0159,Supplier 159 Ltd,contact@supplier159.com,0.73,6,0.0173,2026-02-27T14:39:29.185790
SUP-0160,Supplier 160 Ltd,contact@supplier160.com,0.92,11,0.0477,2026-02-27T14:39:29.185792
SUP-0161,Supplier 161 Ltd,contact@supplier161.com,0.72,15,0.0147,2026-02-27T14:39:29.185794
SUP-0162,Supplier 162 Ltd,contact@supplier162.com,0.83,15,0.0215,2026-02-27T14:39:29.185796
SUP-0163,Supplier 163 Ltd,contact@supplier163.com,0.84,9,0.047,2026-02-27T14:39:29.185798
SUP-0164,Supplier 164 Ltd,contact@supplier164.com,0.72,4,0.0258,2026-02-27T14:39:29.185800
SUP-0165,Supplier 165 Ltd,contact@supplier165.com,0.72,13,0.0476,2026-02-27T14:39:29.185803
SUP-0166,Supplier 166 Ltd,contact@supplier166.com,0.91,18,0.0271,2026-02-27T14:39:29.185805
SUP-0167,Supplier 167 Ltd,contact@supplier167.com,0.87,12,0.021,2026-02-27T14:39:29.185807
SUP-0168,Supplier 168 Ltd,contact@supplier168.com,0.74,18,0.0336,2026-02-27T14:39:29.185809
SUP-0169,Supplier 169 Ltd,contact@supplier169.com,0.74,8,0.0121,2026-02-27T14:39:29.185811
SUP-0170,Supplier 170 Ltd,contact@supplier170.com,0.73,12,0.0497,2026-02-27T14:39:29.185814
SUP-0171,Supplier 171 Ltd,contact@supplier171.com,0.78,21,0.0145,2026-02-27T14:39:29.185816
SUP-0172,Supplier 172 Ltd,contact@supplier172.com,0.95,17,0.0011,2026-02-27T14:39:29.185818
SUP-0173,Supplier 173 Ltd,contact@supplier173.com,0.91,14,0.0089,2026-02-27T14:39:29.185821
SUP-0174,Supplier 174 Ltd,contact@supplier174.com,0.87,17,0.0409,2026-02-27T14:39:29.185823
SUP-0175,Supplier 175 Ltd,contact@supplier175.com,0.82,8,0.0262,2026-02-27T14:39:29.185825
SUP-0176,Supplier 176 Ltd,contact@supplier176.com,0.94,8,0.0118,2026-02-27T14:39:29.185827
SUP-0177,Supplier 177 Ltd,contact@supplier177.com,0.85,9,0.0457,2026-02-27T14:39:29.185829
SUP-0178,Supplier 178 Ltd,contact@supplier178.com,0.82,13,0.0033,2026-02-27T14:39:29.185831
SUP-0179,Supplier 179 Ltd,contact@supplier179.com,0.74,7,0.0375,2026-02-27T14:39:29.185833
SUP-0180,Supplier 180 Ltd,contact@supplier180.com,0.99,14,0.0255,2026-02-27T14:39:29.185835
SUP-0181,Supplier 181 Ltd,contact@supplier181.com,0.97,17,0.0173,2026-02-27T14:39:29.185838
SUP-0182,Supplier 182 Ltd,contact@supplier182.com,0.85,3,0.0055,2026-02-27T14:39:29.185840
SUP-0183,Supplier 183 Ltd,contact@supplier183.com,0.91,19,0.0469,2026-02-27T14:39:29.185842
SUP-0184,Supplier 184 Ltd,contact@supplier184.com,0.83,3,0.0469,2026-02-27T14:39:29.185844
SUP-0185,Supplier 185 Ltd,contact@supplier185.com,0.82,16,0.0211,2026-02-27T14:39:29.185846
SUP-0186,Supplier 186 Ltd,contact@supplier186.com,0.78,9,0.0037,2026-02-27T14:39:29.185848
SUP-0187,Supplier 187 Ltd,contact@supplier187.com,0.91,14,0.0231,2026-02-27T14:39:29.185850
SUP-0188,Supplier 188 Ltd,contact@supplier188.com,0.77,3,0.0046,2026-02-27T14:39:29.185852
SUP-0189,Supplier 189 Ltd,contact@supplier189.com,0.75,3,0.031,2026-02-27T14:39:29.185854
SUP-0190,Supplier 190 Ltd,contact@supplier190.com,0.93,4,0.0449,2026-02-27T14:39:29.185856
SUP-0191,Supplier 191 Ltd,contact@supplier191.com,0.85,11,0.012,2026-02-27T14:39:29.185858
SUP-0192,Supplier 192 Ltd,contact@supplier192.com,0.74,14,0.0293,2026-02-27T14:39:29.185860
SUP-0193,Supplier 193 Ltd,contact@supplier193.com,0.71,8,0.0013,2026-02-27T14:39:29.185863
SUP-0194,Supplier 194 Ltd,contact@supplier194.com,0.88,4,0.0384,2026-02-27T14:39:29.185865
SUP-0195,Supplier 195 Ltd,contact@supplier195.com,0.76,14,0.0392,2026-02-27T14:39:29.185867
SUP-0196,Supplier 196 Ltd,contact@supplier196.com,0.79,19,0.0376,2026-02-27T14:39:29.185869
SUP-0197,Supplier 197 Ltd,contact@supplier197.com,0.8,5,0.0417,2026-02-27T14:39:29.185871
SUP-0198,Supplier 198 Ltd,contact@supplier198.com,0.75,20,0.042,2026-02-27T14:39:29.185873
SUP-0199,Supplier 199 Ltd,contact@supplier199.com,0.9,8,0.0277,2026-02-27T14:39:29.185875
SUP-0200,Supplier 200 Ltd,contact@supplier200.com,0.87,17,0.0417,2026-02-27T14:39:29.185877
SUP-0201,Supplier 201 Ltd,contact@supplier201.com,0.75,16,0.0258,2026-02-27T14:39:29.185880
SUP-0202,Supplier 202 Ltd,contact@supplier202.com,0.94,5,0.0204,2026-02-27T14:39:29.185882
SUP-0203,Supplier 203 Ltd,contact@supplier203.com,0.94,12,0.0193,2026-02-27T14:39:29.185884
SUP-0204,Supplier 204 Ltd,contact@supplier204.com,0.76,19,0.045,2026-02-27T14:39:29.185886
SUP-0205,Supplier 205 Ltd,contact@supplier205.com,0.72,9,0.0105,2026-02-27T14:39:29.185888
SUP-0206,Supplier 206 Ltd,contact@supplier206.com,0.84,10,0.0441,2026-02-27T14:39:29.185890
SUP-0207,Supplier 207 Ltd,contact@supplier207.com,0.89,21,0.0498,2026-02-27T14:39:29.185892
SUP-0208,Supplier 208 Ltd,contact@supplier208.com,0.75,8,0.031,2026-02-27T14:39:29.185894
SUP-0209,Supplier 209 Ltd,contact@supplier209.com,0.97,9,0.0452,2026-02-27T14:39:29.185896
SUP-0210,Supplier 210 Ltd,contact@supplier210.com,0.88,9,0.0367,2026-02-27T14:39:29.185898
SUP-0211,Supplier 211 Ltd,contact@supplier211.com,0.76,19,0.041,2026-02-27T14:39:29.185901
SUP-0212,Supplier 212 Ltd,contact@supplier212.com,0.89,12,0.0397,2026-02-27T14:39:29.185903
SUP-0213,Supplier 213 Ltd,contact@supplier213.com,0.94,16,0.0349,2026-02-27T14:39:29.185905
SUP-0214,Supplier 214 Ltd,contact@supplier214.com,0.7,12,0.0192,2026-02-27T14:39:29.185907
SUP-0215,Supplier 215 Ltd,contact@supplier215.com,0.84,13,0.0262,2026-02-27T14:39:29.185909
SUP-0216,Supplier 216 Ltd,contact@supplier216.com,0.81,20,0.0251,2026-02-27T14:39:29.185911
SUP-0217,Supplier 217 Ltd,contact@supplier217.com,0.81,21,0.0313,2026-02-27T14:39:29.185913
SUP-0218,Supplier 218 Ltd,contact@supplier218.com,0.81,3,0.0459,2026-02-27T14:39:29.185915
SUP-0219,Supplier 219 Ltd,contact@supplier219.com,0.98,4,0.0439,2026-02-27T14:39:29.185917
SUP-0220,Supplier 220 Ltd,contact@supplier220.com,0.91,14,0.0356,2026-02-27T14:39:29.185919
SUP-0221,Supplier 221 Ltd,contact@supplier221.com,0.71,17,0.0126,2026-02-27T14:39:29.185921
SUP-0222,Supplier 222 Ltd,contact@supplier222.com,0.84,16,0.0104,2026-02-27T14:39:29.185923
SUP-0223,Supplier 223 Ltd,contact@supplier223.com,0.77,15,0.0276,2026-02-27T14:39:29.185926
SUP-0224,Supplier 224 Ltd,contact@supplier224.com,0.81,18,0.0292,2026-02-27T14:39:29.185928
SUP-0225,Supplier 225 Ltd,contact@supplier225.com,0.79,16,0.02,2026-02-27T14:39:29.185930
SUP-0226,Supplier 226 Ltd,contact@supplier226.com,0.94,16,0.0232,2026-02-27T14:39:29.185932
SUP-0227,Supplier 227 Ltd,contact@supplier227.com,0.84,15,0.0138,2026-02-27T14:39:29.185934
SUP-0228,Supplier 228 Ltd,contact@supplier228.com,0.87,8,0.047,2026-02-27T14:39:29.185937
SUP-0229,Supplier 229 Ltd,contact@supplier229.com,0.81,9,0.0145,2026-02-27T14:39:29.185939
SUP-0230,Supplier 230 Ltd,contact@supplier230.com,0.94,5,0.0224,2026-02-27T14:39:29.185941
SUP-0231,Supplier 231 Ltd,contact@supplier231.com,0.81,16,0.0065,2026-02-27T14:39:29.185943
SUP-0232,Supplier 232 Ltd,contact@supplier232.com,0.91,9,0.0111,2026-02-27T14:39:29.185945
SUP-0233,Supplier 233 Ltd,contact@supplier233.com,0.72,7,0.0206,2026-02-27T14:39:29.185948
SUP-0234,Supplier 234 Ltd,contact@supplier234.com,0.95,21,0.0022,2026-02-27T14:39:29.185950
SUP-0235,Supplier 235 Ltd,contact@supplier235.com,0.84,8,0.0453,2026-02-27T14:39:29.185952
SUP-0236,Supplier 236 Ltd,contact@supplier236.com,0.89,19,0.0409,2026-02-27T14:39:29.185954
SUP-0237,Supplier 237 Ltd,contact@supplier237.com,0.75,8,0.0068,2026-02-27T14:39:29.185956
SUP-0238,Supplier 238 Ltd,contact@supplier238.com,0.94,20,0.0496,2026-02-27T14:39:29.185958
SUP-0239,Supplier 239 Ltd,contact@supplier239.com,0.88,15,0.0096,2026-02-27T14:39:29.185960
SUP-0240,Supplier 240 Ltd,contact@supplier240.com,0.71,3,0.0331,2026-02-27T14:39:29.185962
SUP-0241,Supplier 241 Ltd,contact@supplier241.com,0.78,13,0.0112,2026-02-27T14:39:29.185964
SUP-0242,Supplier 242 Ltd,contact@supplier242.com,0.87,8,0.0268,2026-02-27T14:39:29.185966
SUP-0243,Supplier 243 Ltd,contact@supplier243.com,0.88,21,0.0471,2026-02-27T14:39:29.185968
SUP-0244,Supplier 244 Ltd,contact@supplier244.com,0.73,14,0.0493,2026-02-27T14:39:29.185970
SUP-0245,Supplier 245 Ltd,contact@supplier245.com,0.76,12,0.0412,2026-02-27T14:39:29.185972
SUP-0246,Supplier 246 Ltd,contact@supplier246.com,0.73,14,0.0352,2026-02-27T14:39:29.185974
SUP-0247,Supplier 247 Ltd,contact@supplier247.com,0.74,8,0.0429,2026-02-27T14:39:29.185976
