po_line_id,po_id,product_id,quantity,unit_price,line_total,created_at
POL-52b111f8b92f,PO-2e8f26096419,PROD-00426,448,360.12,161334.71,2026-01-01T14:39:39.420282
POL-c79b441e6c21,PO-2e8f26096419,PROD-00554,341,16.57,5650.99,2026-01-01T14:39:39.420282
POL-e472a9a15a99,PO-3bdd3503e4c8,PROD-00211,181,446.4,80798.53,2025-12-30T14:39:39.421096
POL-68b42a86e4bf,PO-3bdd3503e4c8,PROD-01546,316,292.17,92326.64,2025-12-30T14:39:39.421096
POL-327c126861d9,PO-b38f162dd8a4,PROD-00757,62,94.62,5866.4,2026-01-20T14:39:39.421692
POL-a3f9ce5f5eab,PO-c496cc757843,PROD-00699,185,422.11,78089.43,2025-12-07T14:39:39.422108
POL-38d3b8b54573,PO-c496cc757843,PROD-01137,468,8.52,3985.09,2025-12-07T14:39:39.422108
POL-b1b374502795,PO-77d76d3bdfd5,PROD-01782,132,25.91,3420.63,2025-12-26T14:39:39.422697
POL-5deece4c469b,PO-77d76d3bdfd5,PROD-01401,253,324.32,82052.11,2025-12-26T14:39:39.422697
POL-71a55cca8900,PO-77d76d3bdfd5,PROD-00608,347,506.16,175636.77,2025-12-26T14:39:39.422697
POL-f69aafeae12d,PO-4e95a6190bcf,PROD-00478,430,446.33,191921.65,2026-01-04T14:39:39.423476
POL-dd87449ae34a,PO-4e95a6190bcf,PROD-01444,382,482.97,184493.2,2026-01-04T14:39:39.423476
POL-d814a5cf14cf,PO-9bb50a697652,PROD-01583,291,248.73,72380.43,2026-02-23T14:39:39.424081
POL-b12eb1dd50b7,PO-38b9d6ac55f2,PROD-00029,109,166.46,18143.77,2026-01-16T14:39:39.424460
POL-cfd68653860b,PO-38b9d6ac55f2,PROD-00491,127,361.28,45883.17,2026-01-16T14:39:39.424460
POL-996e0e89c84c,PO-38b9d6ac55f2,PROD-00819,359,208.42,74823.73,2026-01-16T14:39:39.424460
POL-d25a0946c2e2,PO-461888dafc16,PROD-01696,153,408.7,62531.13,2026-02-02T14:39:39.425233
POL-c33e8dccbffc,PO-c5ea76c2cb4c,PROD-00674,373,439.03,163756.44,2026-02-20T14:39:39.425610
POL-2bd304b07b75,PO-c5ea76c2cb4c,PROD-01226,103,500.39,51540.45,2026-02-20T14:39:39.425610
POL-7d9fdfde7c0c,PO-c5ea76c2cb4c,PROD-01925,389,22.83,8882.08,2026-02-20T14:39:39.425610
POL-c8c4813c02eb,PO-f8356f64f272,PROD-01940,68,459.0,31212.16,2025-12-29T14:39:39.426414
POL-92f73128160b,PO-93cf63274a84,PROD-00017,461,130.39,60111.81,2026-02-23T14:39:39.426791
POL-ddf9a2b17f82,PO-93cf63274a84,PROD-01014,67,110.8,7423.66,2026-02-23T14:39:39.426791
POL-2161fd1753b5,PO-885124ce614d,PROD-01765,131,13.53,1773.01,2026-02-05T14:39:39.427445
POL-32cb78e9aefa,PO-885124ce614d,PROD-00193,366,302.41,110682.77,2026-02-05T14:39:39.427445
POL-3da67187a0f4,PO-885124ce614d,PROD-01293,198,8.33,1648.87,2026-02-05T14:39:39.427445
POL-6d849ca619ae,PO-f4345e0e00dd,PROD-00539,213,377.26,80356.48,2026-01-30T14:39:39.428354
POL-0d8705836514,PO-f4345e0e00dd,PROD-01619,381,216.99,82673.45,2026-01-30T14:39:39.428354
POL-244e25c26365,PO-e6ee21cb8bdd,PROD-01624,372,302.92,112686.65,2025-12-27T14:39:39.429087
POL-a4da0d993617,PO-df71f743ca0f,PROD-01168,247,360.18,88964.27,2026-01-04T14:39:39.429679
POL-5daa15450c6b,PO-df71f743ca0f,PROD-00047,354,372.88,131999.14,2026-01-04T14:39:39.429679
POL-ce4f7c45949e,PO-df71f743ca0f,PROD-01019,467,248.1,115861.33,2026-01-04T14:39:39.429679
POL-bc290315993a,PO-439a06a70077,PROD-00162,57,275.09,15680.38,2026-01-20T14:39:39.430654
POL-b0157dca40ae,PO-a750ad1c1fc5,PROD-00869,102,201.75,20579.01,2026-02-27T14:39:39.431049
POL-0298ecb0f9f0,PO-d42df2356073,PROD-01991,194,163.44,31707.69,2026-02-21T14:39:39.431446
POL-a8546ac0a182,PO-d42df2356073,PROD-01789,108,395.81,42747.45,2026-02-21T14:39:39.431446
POL-a39f37f5f520,PO-32f71a5593a6,PROD-00513,413,390.45,161256.7,2026-01-18T14:39:39.432023
POL-b71a0318a897,PO-6a998fcfa1ad,PROD-00455,368,157.77,58058.13,2026-01-03T14:39:39.432408
POL-8179bd45eb1a,PO-6a998fcfa1ad,PROD-01754,181,491.28,88921.19,2026-01-03T14:39:39.432408
POL-009f06a03da8,PO-421ea8fbe3f4,PROD-00945,374,311.54,116515.35,2026-01-31T14:39:39.433050
POL-6e2a2a946808,PO-421ea8fbe3f4,PROD-00122,388,145.74,56548.09,2026-01-31T14:39:39.433050
POL-30d633d440be,PO-5b69abeb94d8,PROD-00134,402,300.9,120960.28,2026-01-02T14:39:39.434000
POL-92747492c87d,PO-5b69abeb94d8,PROD-00618,484,236.21,114324.8,2026-01-02T14:39:39.434000
POL-3214c74c18b4,PO-5b69abeb94d8,PROD-00440,140,309.64,43350.07,2026-01-02T14:39:39.434000
POL-8f05ccfcee41,PO-30382271a91f,PROD-01277,349,299.68,104589.29,2025-12-10T14:39:39.435333
POL-22cad85c0cdb,PO-30382271a91f,PROD-00266,64,175.38,11224.15,2025-12-10T14:39:39.435333
POL-39b566d072e0,PO-30382271a91f,PROD-00504,470,231.81,108949.1,2025-12-10T14:39:39.435333
POL-9f4cdabdcc7c,PO-a579d2bc9876,PROD-00808,337,59.04,19897.69,2026-02-12T14:39:39.436344
POL-aa3f9f5ab159,PO-63f5f743f893,PROD-00405,300,341.05,102315.77,2025-12-25T14:39:39.436740
POL-efcbe37b6e53,PO-6491e60c97ef,PROD-00868,65,254.35,16532.81,2025-12-07T14:39:39.437130
POL-d0549cb37ac5,PO-f8425f084432,PROD-00999,233,204.9,47741.09,2026-02-12T14:39:39.437520
POL-d3052666aa52,PO-f8425f084432,PROD-00930,175,227.84,39871.2,2026-02-12T14:39:39.437520
POL-a1b3bb7897d5,PO-0fddb1ceca1a,PROD-00928,438,150.82,66058.57,2026-01-07T14:39:39.438140
POL-66e7a70e7817,PO-bbc9d2885c34,PROD-01314,283,226.84,64194.7,2026-01-03T14:39:39.438546
POL-3c0ea93baa03,PO-a3d0c695c69c,PROD-01364,499,53.36,26628.63,2025-12-22T14:39:39.438926
POL-86f32c5dfc1f,PO-a3d0c695c69c,PROD-00935,499,439.65,219386.22,2025-12-22T14:39:39.438926
POL-4f78eb47e2fc,PO-5246ac18384a,PROD-00834,459,219.5,100752.4,2026-02-19T14:39:39.439510
POL-1817312fc11f,PO-5246ac18384a,PROD-00378,358,53.06,18996.47,2026-02-19T14:39:39.439510
POL-1c75537d63ef,PO-24f7062233b9,PROD-01635,166,96.84,16074.86,2025-12-14T14:39:39.440112
POL-b5226c2d98b0,PO-24f7062233b9,PROD-01118,203,226.01,45879.09,2025-12-14T14:39:39.440112
POL-7e31bb844a26,PO-24f7062233b9,PROD-01241,68,42.41,2883.96,2025-12-14T14:39:39.440112
POL-5619a09783de,PO-ebdebcfe607e,PROD-01392,345,209.74,72360.62,2025-12-19T14:39:39.440913
POL-319b1dd619f3,PO-ebdebcfe607e,PROD-00588,292,478.88,139834.03,2025-12-19T14:39:39.440913
POL-b7f2316825a3,PO-ebdebcfe607e,PROD-01493,246,74.84,18409.78,2025-12-19T14:39:39.440913
POL-3a829dc6dc4e,PO-7303258cd030,PROD-01765,191,12.21,2331.28,2025-12-22T14:39:39.441696
POL-2c465a41e22e,PO-ddc5578102ae,PROD-01958,215,347.03,74611.6,2026-02-02T14:39:39.442084
POL-825fec0dd7c7,PO-f0b33a8aee4d,PROD-01548,424,321.68,136391.83,2026-02-17T14:39:39.442478
POL-08c90636370c,PO-3cc7a9d622f6,PROD-01616,450,304.96,137230.26,2026-01-03T14:39:39.442855
POL-f8fd0e1088d6,PO-0c1ccc7bf2ab,PROD-01579,137,35.26,4830.54,2026-02-24T14:39:39.443230
POL-703b5838935c,PO-0c1ccc7bf2ab,PROD-01504,106,426.02,45158.03,2026-02-24T14:39:39.443230
POL-74c0bf1a1c99,PO-0c1ccc7bf2ab,PROD-00175,482,342.88,165268.23,2026-02-24T14:39:39.443230
POL-e476100b0b91,PO-0013d60c07cb,PROD-01713,306,384.06,117523.87,2026-02-12T14:39:39.444006
POL-dcf07ea12e19,PO-3953424f2f6d,PROD-01959,129,330.23,42599.69,2026-01-24T14:39:39.444404
POL-6224c538a935,PO-3953424f2f6d,PROD-01432,106,253.72,26894.7,2026-01-24T14:39:39.444404
POL-69c5c7203c60,PO-9dfbbfc4129a,PROD-00071,315,130.05,40964.27,2026-02-26T14:39:39.444984
POL-cf68c5e0e64d,PO-190b636b963e,PROD-00073,409,89.22,36492.99,2026-01-15T14:39:39.445360
POL-c43a33da4ddd,PO-190b636b963e,PROD-00987,438,215.44,94362.19,2026-01-15T14:39:39.445360
POL-634d36463802,PO-190b636b963e,PROD-00898,243,493.27,119864.49,2026-01-15T14:39:39.445360
POL-dcb27c2c0752,PO-3081b635af7b,PROD-00819,431,212.03,91382.8,2026-02-15T14:39:39.446624
POL-985e4f5c5153,PO-b8190faaeb12,PROD-01543,312,155.34,48464.93,2026-01-04T14:39:39.447051
POL-cd8c33be93d5,PO-520ef69776c5,PROD-00904,185,86.92,16079.61,2026-02-23T14:39:39.447807
POL-3e82798fc212,PO-227c8edeaac9,PROD-01284,91,483.87,44032.24,2026-01-19T14:39:39.448362
POL-19b7c138322d,PO-cc5f59cf7759,PROD-01737,303,320.78,97195.08,2025-12-19T14:39:39.448752
POL-ef10167edace,PO-42ad48ce6e29,PROD-01933,146,280.16,40903.94,2026-01-30T14:39:39.449122
POL-9ed367a249d4,PO-42ad48ce6e29,PROD-01799,196,127.8,25048.16,2026-01-30T14:39:39.449122
POL-0b6073db4577,PO-42ad48ce6e29,PROD-00257,252,91.34,23017.77,2026-01-30T14:39:39.449122
POL-d5c14e14946b,PO-08f7f12b824d,PROD-00091,350,90.86,31802.32,2025-12-19T14:39:39.450053
POL-d02219e97fed,PO-08f7f12b824d,PROD-00647,468,407.79,190847.02,2025-12-19T14:39:39.450053
POL-d9cad06b5429,PO-d1ee6fb0dc53,PROD-00324,419,218.58,91582.96,2025-12-20T14:39:39.450615
POL-96bebe93d843,PO-d1ee6fb0dc53,PROD-01743,270,175.51,47388.66,2025-12-20T14:39:39.450615
POL-cc9c80602779,PO-051309b3d944,PROD-01161,413,390.32,161204.06,2026-01-29T14:39:39.451174
POL-12eb08c2d0a7,PO-051309b3d944,PROD-01682,491,271.45,133281.79,2026-01-29T14:39:39.451174
POL-80462fc5b40c,PO-051309b3d944,PROD-01431,254,136.39,34642.55,2026-01-29T14:39:39.451174
POL-8f2341ed3a9f,PO-95d37080c78e,PROD-00961,385,15.57,5992.78,2025-12-26T14:39:39.452079
POL-7668a1dd0935,PO-95d37080c78e,PROD-01281,169,382.49,64640.36,2025-12-26T14:39:39.452079
POL-180077be2d89,PO-95d37080c78e,PROD-01242,414,489.49,202650.71,2025-12-26T14:39:39.452079
POL-b2f043c536dc,PO-6176139032b3,PROD-00942,96,96.88,9300.22,2025-12-27T14:39:39.452956
POL-a99f554e4e45,PO-a38b7d07e737,PROD-00316,351,255.03,89516.69,2026-01-28T14:39:39.453438
POL-afd47ed13b20,PO-a38b7d07e737,PROD-01346,299,215.95,64567.76,2026-01-28T14:39:39.453438
POL-fc57892d566a,PO-a38b7d07e737,PROD-01785,426,239.24,101916.54,2026-01-28T14:39:39.453438
POL-d123d9088668,PO-fced48901f3b,PROD-01152,202,8.52,1721.16,2026-02-21T14:39:39.454334
POL-e2acbb2b40ed,PO-7d402f295477,PROD-01862,262,167.59,43907.79,2025-12-25T14:39:39.454707
POL-88636d997fac,PO-7d402f295477,PROD-01656,413,277.45,114586.49,2025-12-25T14:39:39.454707
POL-662d8a9cbd1d,PO-a13126325022,PROD-01855,473,25.51,12064.76,2026-02-27T14:39:39.455270
POL-d18193abb50f,PO-a13126325022,PROD-00097,409,184.37,75405.38,2026-02-27T14:39:39.455270
POL-48f2cad39424,PO-a13126325022,PROD-01954,365,222.4,81175.18,2026-02-27T14:39:39.455270
POL-df397edb64da,PO-257ec6c19e91,PROD-00811,231,151.15,34915.49,2025-12-28T14:39:39.456090
POL-609b0b8c55a5,PO-257ec6c19e91,PROD-00277,111,42.11,4674.19,2025-12-28T14:39:39.456090
POL-40900dc8f9a4,PO-558d695d8dc2,PROD-01252,276,99.82,27550.59,2026-02-09T14:39:39.456659
POL-93b4bb09a2b9,PO-558d695d8dc2,PROD-00024,152,55.84,8488.19,2026-02-09T14:39:39.456659
POL-cbc02336c8df,PO-558d695d8dc2,PROD-01674,417,300.76,125417.25,2026-02-09T14:39:39.456659
POL-7931dbb8fff9,PO-5b584b821bcd,PROD-00230,476,272.91,129904.77,2026-01-05T14:39:39.457421
POL-6dd82aa3570d,PO-5b584b821bcd,PROD-00007,488,392.15,191369.25,2026-01-05T14:39:39.457421
POL-0c63ea7dffee,PO-00484f551eb9,PROD-01734,370,166.42,61576.93,2026-02-01T14:39:39.458009
POL-7244b8b8de15,PO-00484f551eb9,PROD-01598,97,130.35,12643.84,2026-02-01T14:39:39.458009
POL-c9579d499fe1,PO-00484f551eb9,PROD-01223,215,255.24,54875.76,2026-02-01T14:39:39.458009
POL-b564bcaa1f01,PO-e4b26b6662ed,PROD-00686,192,53.74,10318.31,2025-12-16T14:39:39.458760
POL-3b56d99a95a5,PO-e4b26b6662ed,PROD-00606,136,485.46,66022.18,2025-12-16T14:39:39.458760
POL-f77b7ecc6546,PO-e4b26b6662ed,PROD-00290,153,259.47,39698.96,2025-12-16T14:39:39.458760
POL-b249d5670f9a,PO-b7fcc070e0f2,PROD-00244,76,136.62,10382.88,2025-12-13T14:39:39.459508
POL-cc7d51665264,PO-b7fcc070e0f2,PROD-01389,247,375.72,92803.25,2025-12-13T14:39:39.459508
POL-fc51ba896326,PO-b7fcc070e0f2,PROD-00352,187,144.81,27078.7,2025-12-13T14:39:39.459508
POL-fc50f5293cc8,PO-1c1a27f39e58,PROD-00901,161,399.04,64245.93,2025-12-04T14:39:39.460282
POL-d255e88b942f,PO-1c1a27f39e58,PROD-00400,451,415.62,187443.01,2025-12-04T14:39:39.460282
POL-09392434962c,PO-add516270e46,PROD-00434,466,324.11,151037.21,2026-02-06T14:39:39.460841
POL-e93785365d6e,PO-add516270e46,PROD-01749,353,233.52,82433.58,2026-02-06T14:39:39.460841
POL-1887f0436602,PO-1870aed9d6dd,PROD-01188,469,251.11,117772.66,2026-01-29T14:39:39.461404
POL-d8b8b51ef7ef,PO-1870aed9d6dd,PROD-01190,130,174.49,22683.64,2026-01-29T14:39:39.461404
POL-52d6ca44ba84,PO-8e994f36e723,PROD-00697,495,378.53,187373.08,2026-01-06T14:39:39.461980
POL-ad8b4681ebe4,PO-22ba2b2e386e,PROD-00924,77,531.99,40962.93,2025-12-17T14:39:39.462344
POL-957a44c7bf3c,PO-22ba2b2e386e,PROD-01624,178,296.94,52854.63,2025-12-17T14:39:39.462344
POL-fab8cef0eeaf,PO-e770544e4be3,PROD-00006,491,260.31,127811.5,2025-12-06T14:39:39.463346
POL-ecfd4423491c,PO-d7bfb9cb3607,PROD-01309,65,382.99,24894.18,2025-12-27T14:39:39.463742
POL-2101eed1378e,PO-d7bfb9cb3607,PROD-00981,202,400.73,80948.39,2025-12-27T14:39:39.463742
POL-3dfe8cb69991,PO-a22ab5e1204a,PROD-01967,175,411.38,71992.15,2026-01-01T14:39:39.464331
POL-5ac2e1e8c007,PO-a22ab5e1204a,PROD-01317,444,396.59,176084.89,2026-01-01T14:39:39.464331
POL-92e564e73bc2,PO-755a832f1a82,PROD-01243,499,342.7,171008.16,2025-12-07T14:39:39.464908
POL-12fb0c0960e2,PO-755a832f1a82,PROD-01805,233,26.51,6176.24,2025-12-07T14:39:39.464908
POL-fd26ce6cd189,PO-a512af3e82af,PROD-00756,338,429.69,145236.75,2026-01-02T14:39:39.465481
POL-7df518ca5975,PO-cfd97698309a,PROD-01116,252,37.49,9448.27,2025-12-11T14:39:39.465869
POL-3466a04d4e34,PO-cfd97698309a,PROD-00005,478,306.71,146608.53,2025-12-11T14:39:39.465869
POL-2d2bde2e2fcf,PO-cfd97698309a,PROD-00807,319,316.37,100923.42,2025-12-11T14:39:39.465869
POL-bc292fffc956,PO-fa3b4be2753b,PROD-01797,362,444.85,161036.46,2026-02-22T14:39:39.466628
POL-e43e8a00be90,PO-fa3b4be2753b,PROD-01239,488,206.02,100536.1,2026-02-22T14:39:39.466628
POL-217338a4d8d0,PO-6e4fb44c3473,PROD-01938,76,421.96,32068.9,2025-12-17T14:39:39.467204
POL-a6d887bafbee,PO-621ca659182b,PROD-01031,458,222.59,101947.27,2026-02-19T14:39:39.467562
POL-dfd1e3de8b27,PO-9b3b2cbb741a,PROD-01272,479,260.38,124719.63,2025-12-14T14:39:39.467941
POL-13e6ae076ea4,PO-eab253b0f6d7,PROD-00985,332,97.06,32224.62,2025-12-17T14:39:39.468411
POL-2f5d76f97d71,PO-eab253b0f6d7,PROD-01350,325,208.49,67759.16,2025-12-17T14:39:39.468411
POL-f41dd9a7208f,PO-abb749129b64,PROD-01598,355,154.66,54905.9,2026-02-27T14:39:39.469085
POL-c89a7f9a0d60,PO-d90da547cb75,PROD-00120,98,90.35,8854.36,2025-11-30T14:39:39.469452
POL-03d6c3353050,PO-d90da547cb75,PROD-00933,127,480.63,61039.55,2025-11-30T14:39:39.469452
