so_line_id,so_id,product_id,quantity,created_at
SOL-d40bcdc6f847,SO-741bcf18eb53,PROD-00459,18,2025-02-27T14:39:29.187794
SOL-37f42c5c45f6,SO-741bcf18eb53,PROD-00042,13,2025-02-27T14:39:29.187794
SOL-7433010a77f7,SO-741bcf18eb53,PROD-00243,4,2025-02-27T14:39:29.187794
SOL-ee64d3f967db,SO-741bcf18eb53,PROD-01597,1,2025-02-27T14:39:29.187794
SOL-2493614cb793,SO-2c8bf8047297,PROD-00043,8,2025-02-27T14:39:29.187794
SOL-7c1f469d356d,SO-2c8bf8047297,PROD-00527,6,2025-02-27T14:39:29.187794
SOL-e36d9f67a5b3,SO-2c8bf8047297,PROD-01147,13,2025-02-27T14:39:29.187794
SOL-0bcb95104ecb,SO-2c8bf8047297,PROD-01073,6,2025-02-27T14:39:29.187794
SOL-2acd98762b57,SO-9c9fb0644a97,PROD-01333,7,2025-02-27T14:39:29.187794
SOL-99ff9f1217ad,SO-0837e5b032fb,PROD-00569,20,2025-02-27T14:39:29.187794
SOL-cc0f905e4de7,SO-0837e5b032fb,PROD-01540,14,2025-02-27T14:39:29.187794
SOL-53f825e3f8e0,SO-0837e5b032fb,PROD-00562,5,2025-02-27T14:39:29.187794
SOL-c72f3c60ec16,SO-0837e5b032fb,PROD-00430,16,2025-02-27T14:39:29.187794
SOL-8b38ba3f6d7b,SO-0837e5b032fb,PROD-00137,6,2025-02-27T14:39:29.187794
SOL-b97ba21938c6,SO-b91e9eb61463,PROD-00352,9,2025-02-27T14:39:29.187794
SOL-102503db4235,SO-b91e9eb61463,PROD-01248,16,2025-02-27T14:39:29.187794
SOL-78355c1e4a93,SO-b91e9eb61463,PROD-00471,1,2025-02-27T14:39:29.187794
SOL-54d83009a62e,SO-b91e9eb61463,PROD-01795,6,2025-02-27T14:39:29.187794
SOL-9bff37f5a9af,SO-e8316032f6ee,PROD-00249,6,2025-02-27T14:39:29.187794
SOL-e9c370b7f524,SO-e8316032f6ee,PROD-00634,9,2025-02-27T14:39:29.187794
SOL-9a6595c59367,SO-e8316032f6ee,PROD-01036,11,2025-02-27T14:39:29.187794
SOL-09dbceef796a,SO-e8316032f6ee,PROD-01464,10,2025-02-27T14:39:29.187794
SOL-3bfff0caa169,SO-e8316032f6ee,PROD-01044,20,2025-02-27T14:39:29.187794
SOL-7545fc04d9f9,SO-6ffcdcdde21c,PROD-01566,20,2025-02-27T14:39:29.187794
SOL-037d5ab7bb76,SO-859fdd98eeff,PROD-00934,7,2025-02-27T14:39:29.187794
SOL-f9ea21353f16,SO-859fdd98eeff,PROD-00482,4,2025-02-27T14:39:29.187794
SOL-f8d9e554a9b4,SO-859fdd98eeff,PROD-01624,8,2025-02-27T14:39:29.187794
SOL-ff87fae580e2,SO-859fdd98eeff,PROD-01572,9,2025-02-27T14:39:29.187794
SOL-895e55db288c,SO-fb7a7e9eb197,PROD-01597,10,2025-02-27T14:39:29.187794
SOL-e5bfba72e948,SO-fb7a7e9eb197,PROD-00994,19,2025-02-27T14:39:29.187794
SOL-6c85037c1e6d,SO-fb7a7e9eb197,PROD-00211,3,2025-02-27T14:39:29.187794
SOL-a0639f6c560e,SO-fb7a7e9eb197,PROD-01080,19,2025-02-27T14:39:29.187794
SOL-549ebdf6de81,SO-ced772973d0d,PROD-00421,20,2025-02-27T14:39:29.187794
SOL-b1d8be3b3ccd,SO-ced772973d0d,PROD-00719,12,2025-02-27T14:39:29.187794
SOL-f4f46113c0d4,SO-33e31c63fe82,PROD-01667,10,2025-02-27T14:39:29.187794
SOL-2502a91679b9,SO-33e31c63fe82,PROD-01004,6,2025-02-27T14:39:29.187794
SOL-16d762924655,SO-33e31c63fe82,PROD-00935,3,2025-02-27T14:39:29.187794
SOL-c2dca692f3cd,SO-33e31c63fe82,PROD-01349,13,2025-02-27T14:39:29.187794
SOL-b046ddd7945c,SO-84e2736a7f6e,PROD-01593,16,2025-02-27T14:39:29.187794
SOL-e730204fc4d0,SO-84e2736a7f6e,PROD-01975,11,2025-02-27T14:39:29.187794
SOL-2988a65ae469,SO-84e2736a7f6e,PROD-00930,15,2025-02-27T14:39:29.187794
SOL-c0fa6253b199,SO-84e2736a7f6e,PROD-01722,13,2025-02-27T14:39:29.187794
SOL-e18fb919000f,SO-3c883ca30022,PROD-00580,10,2025-02-27T14:39:29.187794
SOL-ca836603b003,SO-c797da9e2307,PROD-01824,18,2025-02-27T14:39:29.187794
SOL-befb932dbf71,SO-c797da9e2307,PROD-00547,11,2025-02-27T14:39:29.187794
SOL-fb2e6b9d9e5f,SO-c797da9e2307,PROD-01198,8,2025-02-27T14:39:29.187794
SOL-d2edbe717927,SO-c797da9e2307,PROD-01852,15,2025-02-27T14:39:29.187794
SOL-f77fa51380e5,SO-c797da9e2307,PROD-00916,14,2025-02-27T14:39:29.187794
SOL-c708649f97d5,SO-5b522a5a501c,PROD-01534,1,2025-02-27T14:39:29.187794
SOL-884b07c829a1,SO-5b522a5a501c,PROD-01466,14,2025-02-27T14:39:29.187794
SOL-77c2819ff143,SO-055286b4ec96,PROD-00020,10,2025-02-27T14:39:29.187794
SOL-6fbca494860f,SO-055286b4ec96,PROD-00865,7,2025-02-27T14:39:29.187794
SOL-eff4ef2fa71c,SO-055286b4ec96,PROD-01936,18,2025-02-27T14:39:29.187794
SOL-8966fee393bc,SO-cfe6d2f04671,PROD-00015,18,2025-02-27T14:39:29.187794
SOL-77210c4b75eb,SO-cfe6d2f04671,PROD-01280,4,2025-02-27T14:39:29.187794
SOL-1eec74657c35,SO-1cce2bd0df18,PROD-00171,9,2025-02-27T14:39:29.187794
SOL-959e67723d75,SO-1cce2bd0df18,PROD-01888,2,2025-02-27T14:39:29.187794
SOL-db4bb7280843,SO-917256c80906,PROD-01454,8,2025-02-27T14:39:29.187794
SOL-13db239a97ee,SO-917256c80906,PROD-01505,6,2025-02-27T14:39:29.187794
SOL-bc8b712a3c55,SO-0267fca701d5,PROD-00497,17,2025-02-27T14:39:29.187794
SOL-36f4161341b4,SO-0267fca701d5,PROD-01699,3,2025-02-27T14:39:29.187794
SOL-d671bf0e6cca,SO-ba2407f2778b,PROD-01433,16,2025-02-27T14:39:29.187794
SOL-a1df84edbe8b,SO-ba2407f2778b,PROD-00170,17,2025-02-27T14:39:29.187794
SOL-5260d21d1e25,SO-1b39b179b634,PROD-01045,13,2025-02-27T14:39:29.187794
SOL-fe46067fcd1e,SO-1b39b179b634,PROD-01325,4,2025-02-27T14:39:29.187794
SOL-71e151b2d9e5,SO-55d8f47c8768,PROD-01003,6,2025-02-27T14:39:29.187794
SOL-d0530f08f3c4,SO-55d8f47c8768,PROD-00014,18,2025-02-27T14:39:29.187794
SOL-9a11db96a371,SO-55d8f47c8768,PROD-01021,14,2025-02-27T14:39:29.187794
SOL-269857a8d3f3,SO-55d8f47c8768,PROD-00648,6,2025-02-27T14:39:29.187794
SOL-00d1e0c64c20,SO-c8b3dd7a8aea,PROD-01016,11,2025-02-27T14:39:29.187794
SOL-d3185715a7c1,SO-c8b3dd7a8aea,PROD-00119,9,2025-02-27T14:39:29.187794
SOL-13b0d3fd3c00,SO-c8b3dd7a8aea,PROD-01621,20,2025-02-27T14:39:29.187794
SOL-e1bfbd2dd13a,SO-c8b3dd7a8aea,PROD-00110,4,2025-02-27T14:39:29.187794
SOL-0707821ba8ab,SO-eb2aa64ea5c7,PROD-01697,4,2025-02-27T14:39:29.187794
SOL-fba0ed14d849,SO-eb2aa64ea5c7,PROD-01849,4,2025-02-27T14:39:29.187794
SOL-15b10355421d,SO-eb2aa64ea5c7,PROD-01610,10,2025-02-27T14:39:29.187794
SOL-7a8f14b953c4,SO-9c0c051c1ff3,PROD-00523,4,2025-02-27T14:39:29.187794
SOL-eca84ff9b378,SO-9c0c051c1ff3,PROD-00299,14,2025-02-27T14:39:29.187794
SOL-2de825d43bb6,SO-9c0c051c1ff3,PROD-01742,2,2025-02-27T14:39:29.187794
SOL-068d04f54bcc,SO-9c0c051c1ff3,PROD-00779,7,2025-02-27T14:39:29.187794
SOL-6d6f333ed1c0,SO-387533e94432,PROD-01171,16,2025-02-27T14:39:29.187794
SOL-10f93707d808,SO-387533e94432,PROD-00340,16,2025-02-27T14:39:29.187794
SOL-8f0be3027816,SO-9cf24fc12156,PROD-00008,15,2025-02-27T14:39:29.187794
SOL-676be21e48b6,SO-9cf24fc12156,PROD-00014,7,2025-02-27T14:39:29.187794
SOL-7b4730ccf90b,SO-9cf24fc12156,PROD-01682,11,2025-02-27T14:39:29.187794
SOL-977c6e57c8c2,SO-9cf24fc12156,PROD-01605,6,2025-02-27T14:39:29.187794
SOL-176c93190ae5,SO-3e49b80a0e63,PROD-00630,5,2025-02-27T14:39:29.187794
SOL-ca2ec9ef62e2,SO-3e49b80a0e63,PROD-01648,1,2025-02-27T14:39:29.187794
SOL-b3edf68ef31e,SO-3e49b80a0e63,PROD-00752,15,2025-02-27T14:39:29.187794
SOL-fd84793301ad,SO-3e49b80a0e63,PROD-00338,6,2025-02-27T14:39:29.187794
SOL-30ec51f3d394,SO-3e49b80a0e63,PROD-00503,18,2025-02-27T14:39:29.187794
SOL-61c53a2fd1ad,SO-eb8378970b75,PROD-00971,10,2025-02-27T14:39:29.187794
SOL-982d029ac3ad,SO-eb8378970b75,PROD-01386,14,2025-02-27T14:39:29.187794
SOL-e91e6ea6cedc,SO-eb8378970b75,PROD-01368,15,2025-02-27T14:39:29.187794
SOL-466e5da9c641,SO-eb8378970b75,PROD-01457,3,2025-02-27T14:39:29.187794
SOL-459063fac4d0,SO-eb8378970b75,PROD-00037,4,2025-02-27T14:39:29.187794
SOL-cd3362234d18,SO-2396a745528a,PROD-01743,7,2025-02-27T14:39:29.187794
SOL-8f5ab281a5c8,SO-3a2410499fe3,PROD-01594,4,2025-02-27T14:39:29.187794
SOL-6eeaea834a81,SO-1dd87a43c005,PROD-00652,13,2025-02-27T14:39:29.187794
SOL-cee185062c22,SO-1dd87a43c005,PROD-00991,17,2025-02-27T14:39:29.187794
SOL-0b4b27816390,SO-1dd87a43c005,PROD-00295,20,2025-02-27T14:39:29.187794
SOL-f29ea97477bb,SO-1dd87a43c005,PROD-01679,5,2025-02-27T14:39:29.187794
SOL-c91778260351,SO-9f9298754aca,PROD-00957,9,2025-02-27T14:39:29.187794
SOL-f909f5bd918c,SO-9f9298754aca,PROD-00393,12,2025-02-27T14:39:29.187794
SOL-dba53192867b,SO-9f9298754aca,PROD-00717,10,2025-02-27T14:39:29.187794
SOL-8dbcf4d4db16,SO-9f9298754aca,PROD-00988,3,2025-02-27T14:39:29.187794
SOL-0a53df483fee,SO-0641920e9c2a,PROD-00228,6,2025-02-27T14:39:29.187794
SOL-8443ff7fd588,SO-0641920e9c2a,PROD-00925,12,2025-02-27T14:39:29.187794
SOL-f885d9abf365,SO-0641920e9c2a,PROD-01454,9,2025-02-27T14:39:29.187794
SOL-551471757a49,SO-0641920e9c2a,PROD-01556,7,2025-02-27T14:39:29.187794
SOL-c8d990bbc35f,SO-4fbb784bd32a,PROD-00720,11,2025-02-27T14:39:29.187794
SOL-053b85f5d801,SO-4fbb784bd32a,PROD-01476,4,2025-02-27T14:39:29.187794
SOL-f1ca6d527156,SO-4fbb784bd32a,PROD-01817,9,2025-02-27T14:39:29.187794
SOL-544c10a29636,SO-4fbb784bd32a,PROD-00471,15,2025-02-27T14:39:29.187794
SOL-b4c708532eea,SO-4fbb784bd32a,PROD-01812,2,2025-02-27T14:39:29.187794
SOL-3c402a9cb575,SO-f3ee9d073646,PROD-01023,19,2025-02-27T14:39:29.187794
SOL-49ebd0282857,SO-f3ee9d073646,PROD-00329,5,2025-02-27T14:39:29.187794
SOL-c691d73b8a0c,SO-f3ee9d073646,PROD-00871,12,2025-02-27T14:39:29.187794
SOL-bd955f7abfa0,SO-931c42817540,PROD-00844,16,2025-02-28T14:39:29.187794
SOL-c5a9ebb1ae12,SO-931c42817540,PROD-01920,6,2025-02-28T14:39:29.187794
SOL-0fc73f8cec43,SO-931c42817540,PROD-00967,17,2025-02-28T14:39:29.187794
SOL-b437d3c05b22,SO-931c42817540,PROD-01919,8,2025-02-28T14:39:29.187794
SOL-6e7fa9b37065,SO-931c42817540,PROD-00468,15,2025-02-28T14:39:29.187794
SOL-13285e242cce,SO-d0143e2048e8,PROD-01885,2,2025-02-28T14:39:29.187794
SOL-5360123f4e41,SO-d0143e2048e8,PROD-00094,2,2025-02-28T14:39:29.187794
SOL-6931c58d5d05,SO-d0143e2048e8,PROD-00841,8,2025-02-28T14:39:29.187794
SOL-c521fa222b87,SO-9731f6cc9e59,PROD-01086,18,2025-02-28T14:39:29.187794
SOL-36558c5623ae,SO-85ad654b8059,PROD-00307,1,2025-02-28T14:39:29.187794
SOL-e535c18ccff1,SO-4a199d688855,PROD-00005,8,2025-02-28T14:39:29.187794
SOL-729834b78dbf,SO-beeef6affcb1,PROD-00918,14,2025-02-28T14:39:29.187794
SOL-236d9bbe4c53,SO-beeef6affcb1,PROD-00927,5,2025-02-28T14:39:29.187794
SOL-811c6c0f62a4,SO-beeef6affcb1,PROD-00227,17,2025-02-28T14:39:29.187794
SOL-230cac5f2970,SO-beeef6affcb1,PROD-01553,13,2025-02-28T14:39:29.187794
SOL-232e55bc4638,SO-beeef6affcb1,PROD-00366,7,2025-02-28T14:39:29.187794
SOL-ad59ad760ab7,SO-793ec01fa043,PROD-01226,15,2025-02-28T14:39:29.187794
SOL-28e8dde8543a,SO-793ec01fa043,PROD-01957,18,2025-02-28T14:39:29.187794
SOL-156e808af4ed,SO-793ec01fa043,PROD-01087,16,2025-02-28T14:39:29.187794
SOL-6521247085ba,SO-88f2769808e8,PROD-01779,7,2025-02-28T14:39:29.187794
SOL-33df29e9be30,SO-88f2769808e8,PROD-00493,19,2025-02-28T14:39:29.187794
SOL-0ad413a78190,SO-88f2769808e8,PROD-00072,1,2025-02-28T14:39:29.187794
SOL-b363fbdd2e96,SO-88f2769808e8,PROD-01568,16,2025-02-28T14:39:29.187794
SOL-d6e78a61c675,SO-88f2769808e8,PROD-01737,2,2025-02-28T14:39:29.187794
SOL-49d015e8a56c,SO-17213fbae212,PROD-00351,8,2025-02-28T14:39:29.187794
SOL-f2501aa4b787,SO-f1585b37e123,PROD-00744,13,2025-02-28T14:39:29.187794
SOL-a6fb458b774c,SO-c3c6679002bb,PROD-01869,20,2025-02-28T14:39:29.187794
SOL-e5d40b20f6c3,SO-c3c6679002bb,PROD-01425,8,2025-02-28T14:39:29.187794
SOL-1c706ddb7443,SO-c3c6679002bb,PROD-01873,8,2025-02-28T14:39:29.187794
SOL-fa3faaba4fe5,SO-c3c6679002bb,PROD-01214,11,2025-02-28T14:39:29.187794
SOL-3148c9fd9984,SO-0d3053527c8b,PROD-00923,11,2025-02-28T14:39:29.187794
SOL-ed4d187986d8,SO-0d3053527c8b,PROD-01959,20,2025-02-28T14:39:29.187794
SOL-bb218d55fe7a,SO-861289453b8e,PROD-01685,17,2025-02-28T14:39:29.187794
SOL-6704efec1672,SO-861289453b8e,PROD-01660,6,2025-02-28T14:39:29.187794
SOL-365c1f274f1c,SO-861289453b8e,PROD-00140,8,2025-02-28T14:39:29.187794
SOL-d70cda6fef74,SO-861289453b8e,PROD-01841,5,2025-02-28T14:39:29.187794
SOL-d5b7408a182e,SO-861289453b8e,PROD-00654,7,2025-02-28T14:39:29.187794
SOL-cef1dc6d19b3,SO-c91f5f66f737,PROD-00883,5,2025-02-28T14:39:29.187794
SOL-5d40174ea8bb,SO-c91f5f66f737,PROD-00820,18,2025-02-28T14:39:29.187794
SOL-46d8b40f6ee7,SO-c91f5f66f737,PROD-00889,14,2025-02-28T14:39:29.187794
SOL-dfe078dce25f,SO-826f7c09faac,PROD-00599,6,2025-02-28T14:39:29.187794
SOL-4e63b24b6a2e,SO-826f7c09faac,PROD-00793,7,2025-02-28T14:39:29.187794
SOL-830d20a3cb5c,SO-826f7c09faac,PROD-01908,19,2025-02-28T14:39:29.187794
SOL-efbede8927dc,SO-8ae7efda1e37,PROD-01993,15,2025-02-28T14:39:29.187794
SOL-42ce3db2c7cd,SO-8ae7efda1e37,PROD-01814,5,2025-02-28T14:39:29.187794
SOL-58113f1da941,SO-803ed90df238,PROD-01790,4,2025-02-28T14:39:29.187794
SOL-766ffdf2aba7,SO-803ed90df238,PROD-00773,20,2025-02-28T14:39:29.187794
SOL-aa9530203543,SO-803ed90df238,PROD-00473,15,2025-02-28T14:39:29.187794
SOL-ba78d0270b8e,SO-803ed90df238,PROD-00221,19,2025-02-28T14:39:29.187794
SOL-fd63bb3bb963,SO-238eeb4527e1,PROD-00216,12,2025-02-28T14:39:29.187794
SOL-5d78061da70c,SO-63a6d15c0356,PROD-01567,17,2025-02-28T14:39:29.187794
SOL-fedf9311a5df,SO-50dee8446b6d,PROD-01349,14,2025-02-28T14:39:29.187794
SOL-bb95cd6c11d3,SO-50dee8446b6d,PROD-00015,8,2025-02-28T14:39:29.187794
SOL-8c826c912aad,SO-50dee8446b6d,PROD-01754,5,2025-02-28T14:39:29.187794
SOL-ad54cd2b2ddb,SO-c6c745aedef4,PROD-01567,5,2025-02-28T14:39:29.187794
SOL-0918047a99b1,SO-c6c745aedef4,PROD-00544,17,2025-02-28T14:39:29.187794
SOL-727a2b0a6e29,SO-c6c745aedef4,PROD-00571,7,2025-02-28T14:39:29.187794
SOL-c1f99497609d,SO-b8a7a93e8fe9,PROD-01637,16,2025-02-28T14:39:29.187794
SOL-dbe6989529ec,SO-b8a7a93e8fe9,PROD-00029,1,2025-02-28T14:39:29.187794
SOL-10e3628cb6c1,SO-b8a7a93e8fe9,PROD-01883,11,2025-02-28T14:39:29.187794
SOL-2ff81cb05355,SO-b8a7a93e8fe9,PROD-01970,9,2025-02-28T14:39:29.187794
SOL-3a8d32a3b001,SO-8b198a307aab,PROD-01415,13,2025-02-28T14:39:29.187794
SOL-d79d16594964,SO-23791ee17317,PROD-01576,4,2025-02-28T14:39:29.187794
SOL-d9264abbe128,SO-23791ee17317,PROD-00119,4,2025-02-28T14:39:29.187794
SOL-ce2c3545228a,SO-b7e0e499f169,PROD-01325,5,2025-02-28T14:39:29.187794
SOL-51eae961ec09,SO-b7e0e499f169,PROD-01685,2,2025-02-28T14:39:29.187794
SOL-9824344561cb,SO-b7e0e499f169,PROD-01405,10,2025-02-28T14:39:29.187794
SOL-96cf3081f0b3,SO-b6f9738c4231,PROD-00906,17,2025-02-28T14:39:29.187794
SOL-491013278fef,SO-b6f9738c4231,PROD-00808,13,2025-02-28T14:39:29.187794
SOL-fca031e3bc7f,SO-b6f9738c4231,PROD-00691,10,2025-02-28T14:39:29.187794
SOL-84266f16f692,SO-b6f9738c4231,PROD-00519,10,2025-02-28T14:39:29.187794
SOL-33c685363e14,SO-b6f9738c4231,PROD-00620,5,2025-02-28T14:39:29.187794
SOL-ead0f7baeb46,SO-21f7d029db1a,PROD-01848,12,2025-02-28T14:39:29.187794
SOL-c39ae758e7d7,SO-1c80fb71576f,PROD-01022,13,2025-02-28T14:39:29.187794
SOL-b115e2f0f87a,SO-1c80fb71576f,PROD-01270,13,2025-02-28T14:39:29.187794
SOL-f815bc292ca7,SO-1c80fb71576f,PROD-00279,16,2025-02-28T14:39:29.187794
SOL-d499ad35d426,SO-1c80fb71576f,PROD-01230,4,2025-02-28T14:39:29.187794
SOL-b88e3b876a9a,SO-1c80fb71576f,PROD-01158,3,2025-02-28T14:39:29.187794
SOL-0c74eb409132,SO-2b5512a8dd37,PROD-00064,10,2025-02-28T14:39:29.187794
SOL-6eea1092854f,SO-2b5512a8dd37,PROD-00693,7,2025-02-28T14:39:29.187794
SOL-fb3dfcc4177a,SO-2b5512a8dd37,PROD-01078,10,2025-02-28T14:39:29.187794
SOL-0bfbf7db0155,SO-495c785812ca,PROD-01722,12,2025-02-28T14:39:29.187794
SOL-a8c98db2bdc9,SO-495c785812ca,PROD-00392,16,2025-02-28T14:39:29.187794
SOL-0d8ff203e011,SO-495c785812ca,PROD-00121,8,2025-02-28T14:39:29.187794
SOL-8badb0f2274c,SO-495c785812ca,PROD-01875,18,2025-02-28T14:39:29.187794
SOL-dd9c784b6a4d,SO-495c785812ca,PROD-01783,4,2025-02-28T14:39:29.187794
SOL-ed3d2dfd9a2b,SO-7b9bbdf29387,PROD-01572,15,2025-02-28T14:39:29.187794
SOL-8bd90ded148b,SO-7b9bbdf29387,PROD-01792,2,2025-02-28T14:39:29.187794
SOL-01c39d703bf2,SO-7b9bbdf29387,PROD-01127,17,2025-02-28T14:39:29.187794
SOL-228e2aa70f4a,SO-7b9bbdf29387,PROD-00552,2,2025-02-28T14:39:29.187794
SOL-4d7e53dba0b5,SO-9aedd5d23406,PROD-01709,16,2025-02-28T14:39:29.187794
SOL-509039b5da1b,SO-9aedd5d23406,PROD-00747,7,2025-02-28T14:39:29.187794
SOL-9d44070e9c78,SO-9aedd5d23406,PROD-01787,13,2025-02-28T14:39:29.187794
SOL-aa2af3af9d4e,SO-9aedd5d23406,PROD-01344,18,2025-02-28T14:39:29.187794
SOL-13749031b639,SO-9aedd5d23406,PROD-00227,1,2025-02-28T14:39:29.187794
SOL-bee1adc7b827,SO-61e2c95fccb0,PROD-01318,13,2025-02-28T14:39:29.187794
SOL-9167a14a1666,SO-61e2c95fccb0,PROD-01815,11,2025-02-28T14:39:29.187794
SOL-e9d5b7cee2ea,SO-61e2c95fccb0,PROD-00038,16,2025-02-28T14:39:29.187794
SOL-28cd00656a76,SO-108121277fa3,PROD-01144,20,2025-02-28T14:39:29.187794
SOL-7cb439960911,SO-108121277fa3,PROD-00115,1,2025-02-28T14:39:29.187794
SOL-de0747b89b8d,SO-108121277fa3,PROD-00476,19,2025-02-28T14:39:29.187794
SOL-d7ec420af0be,SO-108121277fa3,PROD-01743,20,2025-02-28T14:39:29.187794
SOL-b1b11dd12bc0,SO-108121277fa3,PROD-00079,11,2025-02-28T14:39:29.187794
SOL-e8c1b4c1b627,SO-c9b767c03f55,PROD-01973,2,2025-02-28T14:39:29.187794
SOL-2c5aae75249b,SO-c9b767c03f55,PROD-00748,15,2025-02-28T14:39:29.187794
SOL-ea579753dc42,SO-4e646aa1bdf1,PROD-01706,12,2025-02-28T14:39:29.187794
SOL-3c25c306a7cd,SO-4e646aa1bdf1,PROD-00606,7,2025-02-28T14:39:29.187794
SOL-31267111f8d6,SO-10f4724cb0b7,PROD-01592,6,2025-02-28T14:39:29.187794
SOL-62c5c93d8501,SO-10f4724cb0b7,PROD-00675,1,2025-02-28T14:39:29.187794
